time	rmse	false positive	false negative
3.987	0.0239941	0	0
4.004	0.0239941	0	0
4.02	0.0239941	0	0
4.037	0.0238555	0	0
4.054	0.0239772	0	0
4.07	0.0235231	0	0
4.087	0.0230522	0	0
4.104	0.0221836	0	0
4.12	0.0215865	0	0
4.137	0.022252	0	0
4.154	0.0223685	0	0
4.17	0.0223275	0	0
4.187	0.022531	0	0
4.204	0.0233089	0	0
4.22	0.022486	0	0
4.237	0.0220775	0	0
4.254	0.0217828	0	0
4.27	0.0219758	0	0
4.287	0.021064	0	0
4.304	0.0211108	0	0
4.32	0.0213836	0	0
4.337	0.0218059	0	0
4.354	0.0218787	0	0
4.371	0.0226395	0	0
4.387	0.0223564	0	0
4.404	0.0219695	0	0
4.421	0.0219368	0	0
4.437	0.0220065	0	0
4.454	0.0215536	0	0
4.471	0.0220416	0	0
4.487	0.0223979	0	0
4.504	0.0222632	0	0
4.521	0.0218724	0	0
4.537	0.0219707	0	0
4.554	0.02159	0	0
4.571	0.0220151	0	0
4.587	0.0215276	0	0
4.604	0.0220616	0	0
4.621	0.0223367	0	0
4.637	0.0231171	0	0
4.654	0.0230541	0	0
4.671	0.0238447	0	0
4.688	0.0236469	0	0
4.704	0.0232557	0	0
4.721	0.0234405	0	0
4.738	0.0234982	0	0
4.754	0.0236108	0	0
4.771	0.0231058	0	0
4.788	0.0238431	0	0
4.804	0.0233147	0	0
4.821	0.0228535	0	0
4.838	0.0228947	0	0
4.854	0.0236009	0	0
4.871	0.023127	0	0
4.888	0.0235555	0	0
4.904	0.0237521	0	0
4.921	0.0234985	0	0
4.938	0.0232736	0	0
4.954	0.0229907	0	0
4.971	0.0229814	0	0
4.988	0.0234334	0	0
5.005	0.0236317	0	0
5.021	0.0238142	0	0
5.038	0.0240887	0	0
5.055	0.0236641	0	0
5.071	0.0233234	0	0
5.088	0.0231479	0	0
5.105	0.0229258	0	0
5.121	0.0229265	0	0
5.138	0.0228267	0	0
5.155	0.022642	0	0
5.171	0.0226044	0	0
5.188	0.0225254	0	0
5.205	0.0226536	0	0
5.221	0.0225889	0	0
5.238	0.0227005	0	0
5.255	0.0228403	0	0
5.271	0.0228347	0	0
5.288	0.0226116	0	0
5.305	0.0228857	0	0
5.321	0.0230222	0	0
5.338	0.0226138	0	0
5.355	0.0230929	0	0
5.372	0.0231297	0	0
5.388	0.0233858	0	0
5.405	0.0232422	0	0
5.422	0.023642	0	0
5.438	0.0233703	0	0
5.455	0.0232265	0	0
5.472	0.023173	0	0
5.488	0.0232148	0	0
5.505	0.0229592	0	0
5.522	0.0229932	0	0
5.538	0.0229098	0	0
5.555	0.0228945	0	0
5.572	0.022863	0	0
5.588	0.0229369	0	0
5.605	0.022774	0	0
5.622	0.0230398	0	0
5.638	0.022618	0	0
5.655	0.0226093	0	0
5.672	0.0228118	0	0
5.689	0.0229696	0	0
5.705	0.022799	0	0
5.722	0.0230776	0	0
5.739	0.0232764	0	0
5.755	0.0237277	0	0
5.772	0.024042	0	0
5.789	0.0260525	0	0
5.805	0.0275647	0	0
5.822	0.0289954	0	0
5.839	0.0302047	0	0
5.855	0.0317671	0	0
5.872	0.0319217	0	0
5.889	0.03117	0	0
5.905	0.0301734	0	0
5.922	0.0289615	0	0
5.939	0.0282412	0	0
5.955	0.0273326	0	0
5.972	0.0278364	0	0
5.989	0.0288106	0	0
6.006	0.0288054	0	0
6.022	0.0288427	0	0
6.039	0.0282269	0	0
6.056	0.0274755	0	0
6.072	0.026319	0	0
6.089	0.026004	0	0
6.106	0.0248347	0	0
6.122	0.0246897	0	0
6.139	0.0244538	0	0
6.156	0.0243125	0	0
6.172	0.0243321	0	0
6.189	0.024653	0	0
6.206	0.0247809	0	0
6.222	0.0247224	0	0
6.239	0.0247207	0	0
6.256	0.0246614	0	0
6.272	0.0242915	0	0
6.289	0.0239997	0	0
6.306	0.0236216	0	0
6.322	0.0235646	0	0
6.339	0.0243833	0	0
6.356	0.0245718	0	0
6.373	0.0245223	0	0
6.389	0.0246415	0	0
6.406	0.0247011	0	0
6.423	0.0234514	0	0
6.439	0.0234887	0	0
6.456	0.0237016	0	0
6.473	0.0238889	0	0
6.489	0.0236663	0	0
6.506	0.024028	0	0
6.523	0.023935	0	0
6.539	0.0236878	0	0
6.556	0.0237244	0	0
6.573	0.0237854	0	0
6.589	0.0236054	0	0
6.606	0.0232666	0	0
6.623	0.0230376	0	0
6.639	0.0229414	0	0
6.656	0.0226221	0	0
6.673	0.0223723	0	0
6.69	0.0221357	0	0
6.706	0.0220252	0	0
6.723	0.021742	0	0
6.74	0.021588	0	0
6.756	0.0218059	0	0
6.773	0.0221822	0	0
6.79	0.022222	0	0
6.806	0.0223375	0	0
6.823	0.0228026	0	0
6.84	0.0228331	0	0
6.856	0.0226507	0	0
6.873	0.0226297	0	0
6.89	0.0223151	0	0
6.906	0.0219381	0	0
6.923	0.0217376	0	0
6.94	0.0215954	0	0
6.956	0.0226367	0	0
6.973	0.0228334	0	0
6.99	0.0231319	0	0
7.007	0.0233175	0	0
7.023	0.0234289	0	0
7.04	0.0232052	0	0
7.057	0.0242556	0	0
7.073	0.0251423	0	0
7.09	0.0258949	0	0
7.107	0.0261473	0	0
7.123	0.0256049	0	0
7.14	0.0248663	0	0
7.157	0.023903	0	0
7.173	0.02387	0	0
7.19	0.0240667	0	0
7.207	0.0241074	0	0
7.223	0.0248547	0	0
7.24	0.024978	0	0
7.257	0.0242156	0	0
7.273	0.0237736	0	0
7.29	0.0236246	0	0
7.307	0.0225446	0	0
7.323	0.0224122	0	0
7.34	0.022497	0	0
7.357	0.0226345	0	0
7.374	0.0227392	0	0
7.39	0.022851	0	0
7.407	0.0229155	0	0
7.424	0.0227728	0	0
7.44	0.0229865	0	0
7.457	0.022909	0	0
7.474	0.0230481	0	0
7.49	0.0230324	0	0
7.507	0.0234499	0	0
7.524	0.023448	0	0
7.54	0.0235734	0	0
7.557	0.023529	0	0
7.574	0.0237471	0	0
7.59	0.0232613	0	0
7.607	0.0232749	0	0
7.624	0.0232883	0	0
7.64	0.0233244	0	0
7.657	0.0232881	0	0
7.674	0.023329	0	0
7.691	0.0230933	0	0
7.707	0.022922	0	0
7.724	0.0227524	0	0
7.741	0.0226214	0	0
7.757	0.0229565	0	0
7.774	0.0239541	0	0
7.791	0.0254196	0	0
7.807	0.0268082	0	0
7.824	0.0279119	0	1
7.841	0.0280386	0	1
7.857	0.0280669	0	1
7.874	0.0272947	0	1
7.891	0.0269565	0	0
7.907	0.0259778	0	0
7.924	0.0266459	0	0
7.941	0.0266038	0	0
7.957	0.0260275	0	0
7.974	0.0250479	0	0
7.991	0.024992	0	0
8.008	0.0237211	0	0
8.024	0.0227604	0	0
8.041	0.0226998	0	0
8.058	0.0230622	0	0
8.074	0.0231062	0	0
8.091	0.0240713	0	0
8.108	0.0242891	0	0
8.124	0.0243484	0	0
8.141	0.0240404	0	0
8.158	0.0238811	0	0
8.174	0.0229565	0	0
8.191	0.0231343	0	0
8.208	0.0246933	0	0
8.224	0.0262419	0	0
8.241	0.0275693	0	0
8.258	0.029566	0	0
8.274	0.0309481	0	0
8.291	0.030615	0	0
8.308	0.0300298	0	0
8.324	0.0294316	1	0
8.341	0.0285043	0	0
8.358	0.0269506	0	0
8.375	0.0268112	0	0
8.391	0.0268094	0	0
8.408	0.0265026	0	0
8.425	0.0268288	0	0
8.441	0.0266644	0	0
8.458	0.0257738	0	0
8.475	0.0249995	0	0
8.491	0.0247726	0	0
8.508	0.0238493	0	0
8.525	0.0242861	0	0
