time lined up	block	rmse	false positive	false negative
5.493	dont	0.0187353	0	0
5.51	dont	0.0187353	0	0
5.526	dont	0.0187353	0	0
5.543	dont	0.0191614	0	0
5.56	dont	0.0191091	0	0
5.576	dont	0.0190293	0	0
5.593	dont	0.0188133	0	0
5.61	dont	0.0187926	0	0
5.626	dont	0.0183885	0	0
5.643	dont	0.018619	0	0
5.66	dont	0.0186515	0	0
5.676	dont	0.0189534	0	0
5.693	dont	0.0192123	0	0
5.71	dont	0.0190505	0	0
5.726	dont	0.0189551	0	0
5.743	dont	0.0188039	0	0
5.76	dont	0.0186718	0	0
5.776	dont	0.0181991	0	0
5.793	dont	0.018322	0	0
5.81	dont	0.018568	0	0
5.826	dont	0.0190136	0	0
5.843	dont	0.0188698	0	0
5.86	dont	0.0191623	0	0
5.877	dont	0.0193547	0	0
5.893	dont	0.0190675	0	0
5.91	dont	0.0188952	0	0
5.927	dont	0.0190473	0	0
5.943	dont	0.0190506	0	0
5.96	dont	0.01901	0	0
5.977	dont	0.0190561	0	0
5.993	dont	0.0191952	0	0
6.01	dont	0.0192981	0	0
6.027	dont	0.0193999	0	0
6.043	dont	0.019183	0	0
6.06	dont	0.0191682	0	0
6.077	dont	0.0187094	0	0
6.093	dont	0.018504	0	0
6.11	dont	0.0183666	0	0
6.127	dont	0.0183821	0	0
6.143	dont	0.0186364	0	0
6.16	dont	0.0187998	0	0
6.177	dont	0.0188589	0	0
6.194	dont	0.0187672	0	0
6.21	dont	0.0188693	0	0
6.227	dont	0.018567	0	0
6.244	dont	0.0187086	0	0
6.26	dont	0.0189974	0	0
6.277	dont	0.0194814	0	0
6.294	dont	0.0197393	0	0
6.31	dont	0.0197658	0	0
6.327	dont	0.0202917	0	0
6.344	dont	0.0201988	0	0
6.36	dont	0.0199025	0	0
6.377	dont	0.0201463	0	0
6.394	dont	0.0204189	0	0
6.41	dont	0.0199358	0	0
6.427	dont	0.0197865	0	0
6.444	dont	0.0196145	0	0
6.46	dont	0.0190757	0	0
6.477	dont	0.018933	0	0
6.494	dont	0.0187556	0	0
6.511	dont	0.0187754	0	0
6.527	dont	0.0187666	0	0
6.544	dont	0.0188004	0	0
6.561	dont	0.0187441	0	0
6.577	dont	0.0189751	0	0
6.594	dont	0.0188784	0	0
6.611	dont	0.0188888	0	0
6.627	dont	0.0188754	0	0
6.644	dont	0.0185366	0	0
6.661	dont	0.0186259	0	0
6.677	dont	0.019216	0	0
6.694	dont	0.019614	0	0
6.711	dont	0.0197433	0	0
6.727	dont	0.0205785	0	0
6.744	dont	0.0202548	0	0
6.761	dont	0.0198186	0	0
6.777	dont	0.0198963	0	0
6.794	dont	0.0198882	0	0
6.811	dont	0.0194384	0	0
6.827	dont	0.0199244	0	0
6.844	dont	0.0202107	0	0
6.861	dont	0.0199514	0	0
6.878	dont	0.0199236	0	0
6.894	dont	0.0198247	0	0
6.911	dont	0.0196133	0	0
6.928	dont	0.0191646	0	0
6.944	dont	0.0192347	0	0
6.961	dont	0.0195292	0	0
6.978	dont	0.0195144	0	0
6.994	dont	0.018858	0	0
7.011	dont	0.0194478	0	0
7.028	dont	0.0194316	0	0
7.044	dont	0.019353	0	0
7.061	dont	0.0195191	0	0
7.078	dont	0.0206241	0	0
7.094	dont	0.0203712	0	0
7.111	dont	0.0205889	0	0
7.128	dont	0.020373	0	0
7.144	dont	0.0203667	0	0
7.161	dont	0.0202387	0	0
7.178	dont	0.0203156	0	0
7.195	dont	0.0202255	0	0
7.211	dont	0.0204693	0	0
7.228	dont	0.02042	0	0
7.245	dont	0.0199613	0	0
7.261	dont	0.0200143	0	0
7.278	dont	0.0200221	0	0
7.295	dont	0.0200066	0	0
7.311	dont	0.0202415	0	0
7.328	dont	0.0209707	0	0
7.345	dont	0.0208424	0	0
7.361	dont	0.0208188	0	0
7.378	dont	0.0206943	0	0
7.395	dont	0.020274	0	0
7.411	dont	0.0198256	0	0
7.428	dont	0.0198703	0	0
7.445	dont	0.0203294	0	0
7.461	dont	0.0201991	0	0
7.478	dont	0.0207738	0	0
7.495	dont	0.0209206	0	0
7.512	dont	0.0208557	0	0
7.528	dont	0.0202571	0	0
7.545	dont	0.0202121	0	0
7.562	dont	0.0195421	0	0
7.578	dont	0.0192494	0	0
7.595	dont	0.0187078	0	0
7.612	dont	0.0186898	0	0
7.628	dont	0.0189064	0	0
7.645	dont	0.0195369	0	0
7.662	dont	0.0196643	0	0
7.678	dont	0.0208284	0	0
7.695	dont	0.0207219	0	0
7.712	dont	0.0203827	0	0
7.728	dont	0.0202528	0	0
7.745	dont	0.0202123	0	0
7.762	dont	0.0198933	0	0
7.778	dont	0.0204888	0	0
7.795	dont	0.021108	0	0
7.812	dont	0.0213124	0	0
7.828	dont	0.0214082	0	0
