time lined up	block	rmse	false positive	false negative
5.693	dont	0.0297429	0	0
5.71	dont	0.0297429	0	0
5.726	dont	0.0297429	0	0
5.743	dont	0.0345201	0	0
5.76	dont	0.039086	0	0
5.776	dont	0.0410953	0	0
5.793	dont	0.0413399	0	0
5.81	dont	0.0409501	0	0
5.826	dont	0.0386057	0	0
5.843	dont	0.0341689	0	0
5.86	dont	0.0284133	0	0
5.876	dont	0.0229808	0	1
5.893	dont	0.0181658	0	0
5.91	dont	0.0142706	0	0
5.926	dont	0.0127487	0	0
5.943	dont	0.0122047	0	0
5.96	dont	0.0120542	0	0
5.976	dont	0.0119943	0	0
5.993	dont	0.0121192	0	0
6.01	dont	0.0122471	0	0
6.026	dont	0.0127246	0	0
6.043	dont	0.0127815	0	0
6.06	dont	0.0127378	0	0
6.077	dont	0.0128607	0	0
6.093	dont	0.0123867	0	0
6.11	dont	0.0122527	0	0
6.127	dont	0.0123957	0	0
6.143	dont	0.0127994	0	0
6.16	dont	0.012741	0	0
6.177	dont	0.0128604	0	0
6.193	dont	0.0123316	0	0
6.21	dont	0.0122014	0	0
6.227	dont	0.0114816	0	0
6.243	dont	0.0105918	0	0
6.26	dont	0.00985073	0	0
6.277	dont	0.0095145	0	0
6.293	dont	0.00874034	0	0
6.31	dont	0.00818676	0	0
6.327	dont	0.00856717	0	0
6.343	dont	0.00870985	0	0
6.36	dont	0.00872231	0	0
6.377	dont	0.00888878	0	0
6.394	dont	0.00958936	0	0
6.41	dont	0.0101393	0	0
6.427	dont	0.0103263	0	0
6.444	dont	0.0106916	0	0
6.46	dont	0.0113164	0	0
6.477	dont	0.0118007	0	0
6.494	dont	0.0115953	0	0
6.51	dont	0.0121161	0	0
6.527	dont	0.0123952	0	0
6.544	dont	0.0123521	0	0
6.56	dont	0.011863	0	0
6.577	dont	0.012182	0	0
6.594	dont	0.0121692	0	0
6.61	dont	0.0114808	0	0
6.627	dont	0.0111397	0	0
6.644	dont	0.0109668	0	0
6.66	dont	0.0101898	0	0
6.677	dont	0.00977162	0	0
6.694	dont	0.010575	0	0
6.711	dont	0.0107819	0	0
6.727	dont	0.0107819	0	0
6.744	dont	0.0110456	0	0
6.761	dont	0.0112759	0	0
6.777	dont	0.0109225	0	0
6.794	dont	0.0106901	0	0
6.811	dont	0.0108867	0	0
6.827	dont	0.0106954	0	0
6.844	dont	0.0105513	0	0
6.861	dont	0.0103782	0	0
6.877	dont	0.010592	0	0
6.894	dont	0.0105008	0	0
6.911	dont	0.0109106	0	0
6.927	dont	0.0106064	0	0
6.944	dont	0.0105052	0	0
6.961	dont	0.0103368	0	0
6.977	dont	0.0100766	0	0
6.994	dont	0.0102756	0	0
7.011	dont	0.010264	0	0
7.027	dont	0.010588	0	0
7.044	dont	0.0103667	0	0
7.061	dont	0.0103444	0	0
7.078	dont	0.010126	0	0
7.094	dont	0.0101548	0	0
7.111	dont	0.0100019	0	0
7.128	dont	0.009893	0	0
7.144	dont	0.0100339	0	0
7.161	dont	0.0100917	0	0
7.178	dont	0.0105041	0	0
7.194	dont	0.0109083	0	0
7.211	dont	0.0114253	0	0
7.228	dont	0.0118348	0	0
7.244	dont	0.0120307	0	0
7.261	dont	0.0117774	0	0
7.278	dont	0.011692	0	0
7.294	dont	0.0118	0	0
7.311	dont	0.0113695	0	0
7.328	dont	0.0112984	0	0
7.344	dont	0.0116973	0	0
7.361	dont	0.0114917	0	0
7.378	dont	0.0110787	0	0
7.395	dont	0.0114428	0	0
7.411	dont	0.0108579	0	0
7.428	dont	0.0104271	0	0
7.445	dont	0.0105203	0	0
7.461	dont	0.0101672	0	0
7.478	dont	0.0104391	0	0
7.495	dont	0.0108511	0	0
7.511	dont	0.0109196	0	0
7.528	dont	0.0108364	0	0
7.545	dont	0.0118615	0	0
7.561	dont	0.0110136	0	0
7.578	dont	0.0111179	0	0
7.595	dont	0.0110971	0	0
7.611	dont	0.0109633	0	0
7.628	dont	0.0106328	0	0
7.645	dont	0.0107694	0	0
7.661	dont	0.01044	0	0
7.678	dont	0.00995341	0	0
7.695	dont	0.0100772	0	0
7.712	dont	0.00968746	0	0
7.728	dont	0.0102065	0	0
7.745	dont	0.0102859	0	0
7.762	dont	0.0109531	0	0
7.778	dont	0.0107534	0	0
7.795	dont	0.0109248	0	0
7.812	dont	0.0102574	0	0
7.828	dont	0.0102883	0	0
7.845	dont	0.0103313	0	0
7.862	dont	0.0105508	0	0
7.878	dont	0.0101799	0	0
7.895	dont	0.0107134	0	0
7.912	dont	0.0113218	0	0
7.928	dont	0.0113546	0	0
7.945	dont	0.0121004	0	0
7.962	dont	0.0130122	0	0
7.978	dont	0.0132315	0	0
7.995	dont	0.0133367	0	0
8.012	dont	0.0132706	0	0
8.028	dont	0.0118984	0	0
8.045	dont	0.0110106	0	0
8.062	dont	0.0105338	0	0
8.079	dont	0.00989066	0	0
8.095	dont	0.01011	0	0
8.112	dont	0.0106347	0	0
8.129	dont	0.0109414	0	0
8.145	dont	0.0111712	0	0
8.162	dont	0.0116488	0	0
8.179	dont	0.0118543	0	0
8.195	dont	0.0122794	0	0
8.212	dont	0.0130345	0	0
8.229	dont	0.0132562	0	0
8.245	dont	0.0133754	0	0
8.262	dont	0.0129265	0	0
8.279	dont	0.0127611	0	0
8.295	dont	0.0126031	0	0
8.312	dont	0.0125646	0	0
8.329	dont	0.0123545	0	0
8.345	dont	0.0129563	0	0
8.362	dont	0.0126808	0	0
8.379	dont	0.012479	0	0
8.396	dont	0.0121814	0	0
8.412	dont	0.0117996	0	0
8.429	dont	0.0113387	0	0
8.446	dont	0.0114808	0	0
8.462	dont	0.0116826	0	0
8.479	dont	0.0117923	0	0
8.496	dont	0.0118795	0	0
8.512	dont	0.0116497	0	0
8.529	dont	0.0114865	0	0
8.546	dont	0.0107035	0	0
8.562	dont	0.0102142	0	0
8.579	dont	0.0101122	0	0
8.596	dont	0.0103283	0	0
8.612	dont	0.0102691	0	0
8.629	dont	0.0109221	0	0
8.646	dont	0.011282	0	0
8.662	dont	0.0120328	0	0
8.679	dont	0.0127312	0	0
8.696	dont	0.013596	0	0
8.713	dont	0.0134458	0	0
8.729	dont	0.0135798	0	0
8.746	dont	0.013196	0	0
8.763	dont	0.012543	0	0
8.779	dont	0.012592	0	0
8.796	dont	0.0123647	0	0
8.813	dont	0.0126118	0	0
8.829	dont	0.0126582	0	0
8.846	dont	0.0124856	0	0
8.863	dont	0.0126313	0	0
8.879	dont	0.0135552	0	0
8.896	dont	0.0143866	0	0
8.913	dont	0.0150596	0	0
8.929	dont	0.0155405	0	0
8.946	dont	0.0155969	0	0
8.963	dont	0.0154089	0	0
8.979	dont	0.014615	0	0
8.996	dont	0.0143052	0	0
9.013	dont	0.0141995	0	0
9.029	dont	0.0136477	0	0
9.046	dont	0.0135167	0	0
9.063	dont	0.0135167	0	0
9.08	dont	0.0133077	0	0
9.096	dont	0.0138314	0	0
9.113	dont	0.0139273	0	0
9.13	dont	0.0136065	0	0
9.146	dont	0.0131879	0	0
9.163	dont	0.0128246	0	0
9.18	dont	0.0125541	0	0
9.196	dont	0.012834	0	0
9.213	dont	0.013383	0	0
9.23	dont	0.0141798	0	0
9.246	dont	0.0146551	0	0
9.263	dont	0.01487	0	0
9.28	dont	0.0155375	0	0
9.296	dont	0.0153774	0	0
9.313	dont	0.0158279	0	0
9.33	dont	0.015899	0	0
9.346	dont	0.0155526	0	0
9.363	dont	0.0155496	0	0
9.38	dont	0.0159647	0	0
9.397	dont	0.0164708	0	0
9.413	dont	0.0170708	0	0
9.43	dont	0.0171335	0	0
9.447	dont	0.0165637	0	0
9.463	dont	0.0162658	0	0
9.48	dont	0.0159343	0	0
9.497	dont	0.0155585	0	0
9.513	dont	0.0158598	0	0
9.53	dont	0.0157872	0	0
9.547	dont	0.0155044	0	0
9.563	dont	0.0151624	0	0
9.58	dont	0.0147312	0	0
9.597	dont	0.014295	0	0
9.613	dont	0.0143819	0	0
9.63	dont	0.0148052	0	0
9.647	dont	0.015174	0	0
9.663	dont	0.0149412	0	0
9.68	dont	0.0148543	0	0
9.697	dont	0.0142476	0	0
9.714	dont	0.014227	0	0
9.73	dont	0.013238	0	0
9.747	dont	0.0137579	0	0
9.764	dont	0.0145872	0	0
9.78	dont	0.0155733	0	0
9.797	dont	0.0162042	0	0
9.814	dont	0.0166687	0	0
9.83	dont	0.0165996	0	0
9.847	dont	0.0155961	0	0
9.864	dont	0.014519	0	0
9.88	dont	0.013714	0	0
9.897	dont	0.0134836	0	0
9.914	dont	0.0132735	0	0
9.93	dont	0.01311	0	0
9.947	dont	0.0132626	0	0
9.964	dont	0.0132663	0	0
9.98	dont	0.0129154	0	0
9.997	dont	0.013483	0	0
10.014	dont	0.0139719	0	0
10.03	dont	0.014499	0	0
10.047	dont	0.0147514	0	0
10.064	dont	0.0147214	0	0
10.081	dont	0.0146484	0	0
10.097	dont	0.0146204	0	0
10.114	dont	0.0148084	0	0
10.131	dont	0.0147369	0	0
10.147	dont	0.0156364	0	0
10.164	dont	0.0158946	0	0
10.181	dont	0.016543	0	0
10.197	dont	0.0164987	0	0
10.214	dont	0.0164043	0	0
10.231	dont	0.015985	0	0
10.247	dont	0.0153412	0	0
10.264	dont	0.01511	0	0
10.281	dont	0.0147504	0	0
10.297	dont	0.0150418	0	0
10.314	dont	0.0150814	0	0
10.331	dont	0.01554	0	0
10.347	dont	0.0153203	0	0
10.364	dont	0.0157511	0	0
10.381	dont	0.0152652	0	0
10.398	dont	0.0151782	0	0
10.414	dont	0.0148682	0	0
10.431	dont	0.015053	0	0
10.448	dont	0.0149196	0	0
10.464	dont	0.0156704	0	0
10.481	dont	0.0155077	0	0
10.498	dont	0.0155687	0	0
10.514	dont	0.0160418	0	0
10.531	dont	0.0160313	0	0
10.548	dont	0.0160642	0	0
10.564	dont	0.0165177	0	0
10.581	dont	0.016619	0	0
10.598	dont	0.0160056	0	0
10.614	dont	0.0158657	0	0
10.631	dont	0.0154725	0	0
10.648	dont	0.0153705	0	0
10.664	dont	0.01558	0	0
10.681	dont	0.0154055	0	0
10.698	dont	0.0162842	0	0
10.715	dont	0.0165471	0	0
10.731	dont	0.0167771	0	0
10.748	dont	0.0162105	0	0
10.765	dont	0.0161189	0	0
10.781	dont	0.0157001	0	0
10.798	dont	0.0152517	0	0
10.815	dont	0.0144471	0	0
10.831	dont	0.0141218	0	0
10.848	dont	0.0144715	0	0
10.865	dont	0.0140005	0	0
10.881	dont	0.0138219	0	0
10.898	dont	0.0145019	0	0
