time	rmse	false positive	false negative
4.971	0.021061	0	0
5.005	0.021061	0	0
5.038	0.021061	0	0
5.071	0.021070	0	0
5.105	0.021099	0	0
5.138	0.020997	0	0
5.171	0.021322	0	0
5.205	0.022112	0	0
5.238	0.022344	0	0
5.271	0.022639	0	0
5.305	0.022981	0	0
5.338	0.023002	0	0
5.372	0.022911	0	0
5.405	0.023005	0	0
5.438	0.023044	0	0
5.472	0.023039	0	0
5.505	0.023179	0	0
5.538	0.022896	0	0
5.572	0.022726	0	0
5.605	0.022788	0	0
5.638	0.022969	0	0
5.672	0.022748	0	0
5.705	0.022625	0	0
5.739	0.022227	0	0
5.772	0.022031	0	0
5.805	0.022000	0	0
5.839	0.022034	0	0
5.872	0.021855	0	0
5.905	0.022347	0	0
5.939	0.022340	0	0
5.972	0.022177	0	0
6.006	0.022058	0	0
6.039	0.022304	0	0
6.072	0.022401	0	0
6.106	0.022495	0	0
6.139	0.022576	0	0
6.172	0.022844	0	0
6.206	0.023004	0	0
6.239	0.022868	0	0
6.272	0.023133	0	0
6.306	0.022946	0	0
6.339	0.023048	0	0
6.373	0.023196	0	0
6.406	0.023525	0	0
6.439	0.023553	0	0
6.473	0.024070	0	0
6.506	0.023995	0	0
6.539	0.023975	0	0
6.573	0.023799	0	0
6.606	0.023299	0	0
6.639	0.023121	0	0
6.673	0.023086	0	0
6.706	0.022956	0	0
6.740	0.022753	0	0
6.773	0.023031	0	0
6.806	0.022858	0	0
6.840	0.022757	0	0
6.873	0.022914	0	0
6.906	0.022919	0	0
6.940	0.022708	0	0
6.973	0.022368	0	0
7.007	0.022234	0	0
7.040	0.022259	0	0
7.073	0.022319	0	0
7.107	0.022557	0	0
7.140	0.022981	0	0
7.173	0.023291	0	0
7.207	0.023175	0	0
7.240	0.022720	0	0
7.273	0.021975	0	0
7.307	0.021212	0	0
7.340	0.020286	0	0
7.374	0.019650	0	0
7.407	0.019499	0	0
7.440	0.021184	0	0
7.474	0.024527	0	0
7.507	0.027355	0	0
7.540	0.028930	0	0
7.574	0.029030	0	0
7.607	0.027640	1	0
7.640	0.025004	1	0
7.674	0.024920	1	0
7.707	0.026197	0	0
7.741	0.029036	0	0
7.774	0.031173	0	0
7.807	0.031662	0	0
7.841	0.029687	0	0
7.874	0.026917	1	0
7.907	0.023917	0	0
7.941	0.021363	0	0
7.974	0.018911	0	0
8.008	0.017147	0	0
8.041	0.015095	0	0
8.074	0.013474	0	0
8.108	0.011692	0	0
8.141	0.010841	0	0
