time lined up	block	rmse	false positive	false negative
0.003	dont	0.0494547	0	0
0.036	dont	0.0405158	0	0
0.070	dont	0.0305777	0	0
0.103	dont	0.0261053	0	0
0.136	dont	0.0247280	0	0
0.170	dont	0.0244760	0	0
0.203	dont	0.0195900	0	0
0.237	dont	0.0204104	0	0
0.270	dont	0.0178644	0	0
0.303	dont	0.0204563	0	0
0.337	dont	0.0213550	0	0
0.370	dont	0.0189762	0	0
0.403	dont	0.0242807	0	0
0.437	dont	0.0475172	0	0
0.470	dont	0.0481652	0	0
0.504	dont	0.0389941	0	0
0.537	dont	0.0346142	0	0
0.570	dont	0.0310512	0	0
0.604	dont	0.0255966	0	0
0.637	dont	0.0266302	0	0
0.670	dont	0.0254690	0	0
0.704	dont	0.0177343	0	0
0.737	dont	0.0127995	0	0
0.770	dont	0.0115224	0	0
0.804	dont	0.0138703	0	0
0.837	dont	0.0124070	0	0
0.871	dont	0.0121726	0	0
0.904	dont	0.0104448	0	0
0.937	dont	0.0124573	0	0
0.971	dont	0.0105818	0	0
1.004	dont	0.0135782	0	0
1.037	dont	0.0107462	0	0
1.071	dont	0.0114241	0	0
1.104	dont	0.0125923	0	0
1.137	dont	0.0107579	0	0
1.171	dont	0.0137250	0	0
1.204	dont	0.0130226	0	0
1.238	dont	0.0136335	0	0
1.271	dont	0.0111579	0	0
1.304	dont	0.0119911	0	0
1.338	dont	0.0106231	0	0
1.371	dont	0.0116789	0	0
1.404	dont	0.0104747	0	0
1.438	dont	0.0103484	0	0
1.471	dont	0.0130754	0	0
1.505	dont	0.0126914	0	0
1.538	dont	0.0121571	0	0
1.571	dont	0.0153124	0	0
1.605	dont	0.0110394	0	0
1.638	dont	0.0111129	0	0
1.671	dont	0.0120900	0	0
1.705	dont	0.0113361	0	0
1.738	dont	0.0131471	0	0
1.771	dont	0.0114897	0	0
1.805	dont	0.0119964	0	0
1.838	dont	0.0161562	0	0
1.872	dont	0.0138296	0	0
1.905	dont	0.0114624	0	0
1.938	dont	0.0141075	0	0
1.972	dont	0.0138069	0	0
2.005	dont	0.0131851	0	0
2.038	dont	0.0155034	0	0
2.072	dont	0.0147796	0	0
2.105	dont	0.0141872	0	0
2.138	dont	0.0116413	0	0
2.172	dont	0.0140987	0	0
2.205	dont	0.0133925	0	0
2.239	dont	0.0118862	0	0
2.272	dont	0.0123665	0	0
2.305	dont	0.0110053	0	0
2.339	dont	0.0124070	0	0
2.372	dont	0.0125525	0	0
2.405	dont	0.0126469	0	0
2.439	dont	0.0127456	0	0
2.472	dont	0.0121107	0	0
2.506	dont	0.0131614	0	0
2.539	dont	0.0137022	0	0
2.572	dont	0.0121158	0	0
2.606	dont	0.0123462	0	0
2.639	dont	0.0124019	0	0
2.672	dont	0.0120744	0	0
2.706	dont	0.0126271	0	0
2.739	dont	0.0133456	0	0
2.772	dont	0.0112473	0	0
2.806	dont	0.0103846	0	0
2.839	dont	0.0106113	0	0
2.873	dont	0.0115712	0	0
2.906	dont	0.0094963	0	0
2.939	dont	0.0112807	0	0
2.973	dont	0.0119598	0	0
3.006	dont	0.0114952	0	0
3.039	dont	0.0120900	0	0
3.073	dont	0.0113084	0	0
3.106	dont	0.0105995	0	0
3.139	dont	0.0116897	0	0
3.173	dont	0.0116897	0	0
3.206	dont	0.0118704	0	0
3.240	dont	0.0124774	0	0
3.273	dont	0.0126914	0	0
3.306	dont	0.0112640	0	0
3.340	dont	0.0108737	0	0
3.373	dont	0.0119859	0	0
3.406	dont	0.0126519	0	0
3.440	dont	0.0127799	0	0
3.473	dont	0.0101220	0	0
3.507	dont	0.0105462	0	0
3.540	dont	0.0112474	0	0
3.573	dont	0.0121055	0	0
3.607	dont	0.0118915	0	0
3.640	dont	0.0126815	0	0
3.673	dont	0.0118704	0	0
3.707	dont	0.0116789	0	0
3.740	dont	0.0103302	0	0
3.773	dont	0.0103665	0	0
3.807	dont	0.0118016	0	0
3.840	dont	0.0102938	0	0
3.874	dont	0.0125625	0	0
3.907	dont	0.0117857	0	0
3.940	dont	0.0103786	0	0
3.974	dont	0.0103059	0	0
4.007	dont	0.0100848	0	0
4.040	dont	0.0107520	0	0
4.074	dont	0.0113582	0	0
4.107	dont	0.0098714	0	0
4.140	dont	0.0109768	0	0
4.174	dont	0.0107229	0	0
4.207	dont	0.0112362	0	0
4.241	dont	0.0112027	0	0
4.274	dont	0.0112696	0	0
4.307	dont	0.0114241	0	0
4.341	dont	0.0110564	0	0
4.374	dont	0.0086834	0	0
4.407	dont	0.0093099	0	0
4.441	dont	0.0096922	0	0
4.474	dont	0.0114570	0	0
4.508	dont	0.0101960	0	0
4.541	dont	0.0108852	0	0
4.574	dont	0.0099535	0	0
4.608	dont	0.0092896	0	0
4.641	dont	0.0097373	0	0
4.674	dont	0.0118334	0	0
4.708	dont	0.0098269	0	0
4.741	dont	0.0118069	0	0
4.774	dont	0.0091058	0	0
4.808	dont	0.0097115	0	0
4.841	dont	0.0101220	0	0
4.875	dont	0.0099912	0	0
4.908	dont	0.0093702	0	0
4.941	dont	0.0108967	0	0
4.975	dont	0.0092016	0	0
5.008	dont	0.0098142	0	0
5.041	dont	0.0106172	0	0
5.075	dont	0.0108852	0	0
5.108	dont	0.0121107	0	0
5.141	dont	0.0096273	0	0
5.175	dont	0.0101898	0	0
5.208	dont	0.0093635	0	0
5.242	dont	0.0082621	0	0
5.275	dont	0.0123615	0	0
5.308	dont	0.0100038	0	0
5.342	dont	0.0114351	0	0
5.375	dont	0.0133456	0	0
5.408	dont	0.0100848	0	0
5.442	dont	0.0123766	0	0
5.475	dont	0.0094235	0	0
5.509	dont	0.0097694	0	0
5.542	dont	0.0101405	0	0
5.575	dont	0.0117963	0	0
5.609	dont	0.0107695	0	0
5.642	dont	0.0109996	0	0
5.675	dont	0.0131471	0	0
5.709	dont	0.0124573	0	0
5.742	dont	0.0112083	0	0
5.775	dont	0.0099410	0	0
5.809	dont	0.0099912	0	0
5.842	dont	0.0097180	0	0
5.876	dont	0.0102021	0	0
5.909	dont	0.0108967	0	0
5.942	dont	0.0112640	0	0
5.976	dont	0.0089602	0	0
6.009	dont	0.0101282	0	0
6.042	dont	0.0101529	0	0
6.076	dont	0.0106526	0	0
6.109	dont	0.0086182	0	0
6.142	dont	0.0107811	0	0
6.176	dont	0.0098904	0	0
6.209	dont	0.0108506	0	0
6.243	dont	0.0101405	0	0
6.276	dont	0.0096533	0	0
6.309	dont	0.0089881	0	0
6.343	dont	0.0089602	0	0
6.376	dont	0.0121313	0	0
6.409	dont	0.0077699	0	0
6.443	dont	0.0083149	0	0
6.476	dont	0.0103726	0	0
6.510	dont	0.0111129	0	0
6.543	dont	0.0098269	0	0
6.576	dont	0.0099410	0	0
6.610	dont	0.0105699	0	0
6.643	dont	0.0090021	0	0
6.676	dont	0.0085232	0	0
6.710	dont	0.0109939	0	0
6.743	dont	0.0094501	0	0
6.776	dont	0.0114460	0	0
6.810	dont	0.0095227	0	0
6.843	dont	0.0088901	0	0
6.877	dont	0.0082241	0	0
6.910	dont	0.0080080	0	0
6.943	dont	0.0109311	0	0
6.977	dont	0.0093568	0	0
7.010	dont	0.0095029	0	0
7.043	dont	0.0128873	0	0
7.077	dont	0.0093434	0	0
7.110	dont	0.0117963	0	0
7.143	dont	0.0081783	0	0
7.177	dont	0.0105462	0	0
7.210	dont	0.0094765	0	0
7.244	dont	0.0097115	0	0
7.277	dont	0.0093233	0	0
7.310	dont	0.0087265	0	0
7.344	dont	0.0093367	0	0
7.377	dont	0.0095489	0	0
7.410	dont	0.0109711	0	0
7.444	dont	0.0118228	0	0
7.477	dont	0.0105105	0	0
7.511	dont	0.0113416	0	0
7.544	dont	0.0092152	0	0
7.577	dont	0.0107637	0	0
7.611	dont	0.0107695	0	0
7.644	dont	0.0102999	0	0
7.677	dont	0.0100475	0	0
7.711	dont	0.0108621	0	0
7.744	dont	0.0110337	0	0
7.777	dont	0.0117004	0	0
7.811	dont	0.0103241	0	0
7.844	dont	0.0105521	0	0
7.878	dont	0.0116413	0	0
7.911	dont	0.0107811	0	0
7.944	dont	0.0104448	0	0
7.978	dont	0.0087552	0	0
8.011	dont	0.0110110	0	0
8.044	dont	0.0091607	0	0
8.078	dont	0.0102877	0	0
8.111	dont	0.0105462	0	0
8.144	dont	0.0105521	0	0
8.178	dont	0.0117057	0	0
8.211	dont	0.0108043	0	0
8.245	dont	0.0111971	0	0
8.278	dont	0.0107053	0	0
8.311	dont	0.0102938	0	0
8.345	dont	0.0087122	0	0
8.378	dont	0.0109540	0	0
8.411	dont	0.0101898	0	0
8.445	dont	0.0093902	0	0
8.478	dont	0.0110224	0	0
8.512	dont	0.0107811	0	0
8.545	dont	0.0084272	0	0
8.578	dont	0.0092423	0	0
8.612	dont	0.0108737	0	0
8.645	dont	0.0100724	0	0
8.678	dont	0.0102328	0	0
8.712	dont	0.0107053	0	0
8.745	dont	0.0096663	0	0
8.778	dont	0.0097950	0	0
8.812	dont	0.0104208	0	0
8.845	dont	0.0097694	0	0
8.879	dont	0.0116144	0	0
8.912	dont	0.0098904	0	0
8.945	dont	0.0101652	0	0
8.979	dont	0.0103544	0	0
9.012	dont	0.0105581	0	0
9.045	dont	0.0125874	0	0
9.079	dont	0.0108159	0	0
9.112	dont	0.0089602	0	0
9.145	dont	0.0117004	0	0
9.179	dont	0.0109996	0	0
9.212	dont	0.0103059	0	0
9.246	dont	0.0112195	0	0
9.279	dont	0.0114296	0	0
9.312	dont	0.0105284	0	0
9.346	dont	0.0119545	0	0
9.379	dont	0.0108909	0	0
9.412	dont	0.0133925	0	0
9.446	dont	0.0115495	0	0
9.479	dont	0.0108448	0	0
9.513	dont	0.0124975	0	0
9.546	dont	0.0104147	0	0
9.579	dont	0.0103786	0	0
9.613	dont	0.0098841	0	0
9.646	dont	0.0113637	0	0
9.679	dont	0.0098142	0	0
9.713	dont	0.0110734	0	0
9.746	dont	0.0102021	0	0
9.779	dont	0.0081090	0	0
9.813	dont	0.0108101	0	0
9.846	dont	0.0116682	0	0
9.880	dont	0.0120120	0	0
9.913	dont	0.0113526	0	0
9.946	dont	0.0119859	0	0
9.980	dont	0.0104388	0	0
10.013	dont	0.0126815	0	0
10.046	dont	0.0093769	0	0
10.080	dont	0.0092762	0	0
10.113	dont	0.0103605	0	0
10.146	dont	0.0120328	0	0
10.180	dont	0.0114241	0	0
10.213	dont	0.0122597	0	0
10.247	dont	0.0101775	0	0
10.280	dont	0.0109082	0	0
10.313	dont	0.0103605	0	0
10.347	dont	0.0107985	0	0
10.380	dont	0.0105403	0	0
10.413	dont	0.0099347	0	0
10.447	dont	0.0103241	0	0
10.480	dont	0.0108506	0	0
10.514	dont	0.0131566	0	0
10.547	dont	0.0102694	0	0
10.580	dont	0.0113967	0	0
10.614	dont	0.0131661	0	0
10.647	dont	0.0115604	0	0
10.680	dont	0.0114734	0	0
10.714	dont	0.0112640	0	0
10.747	dont	0.0112863	0	0
10.780	dont	0.0108852	0	0
10.814	dont	0.0108390	0	0
10.847	dont	0.0105046	0	0
10.881	dont	0.0116628	0	0
10.914	dont	0.0099535	0	0
10.947	dont	0.0099535	0	0
10.981	dont	0.0097822	0	0
11.014	dont	0.0112474	0	0
11.047	dont	0.0101837	0	0
11.081	dont	0.0105105	0	0
11.114	dont	0.0110621	0	0
11.147	dont	0.0117538	0	0
11.181	dont	0.0109368	0	0
11.214	dont	0.0111185	0	0
11.248	dont	0.0112306	0	0
11.281	dont	0.0121571	0	0
11.314	dont	0.0121520	0	0
11.348	dont	0.0108043	0	0
11.381	dont	0.0120068	0	0
11.414	dont	0.0110167	0	0
11.448	dont	0.0105105	0	0
11.481	dont	0.0099473	0	0
11.515	dont	0.0102816	0	0
11.548	dont	0.0140363	0	0
11.581	dont	0.0107345	0	0
11.615	dont	0.0134531	0	0
11.648	dont	0.0121003	0	0
11.681	dont	0.0109825	0	0
11.715	dont	0.0111523	0	0
11.748	dont	0.0126122	0	0
11.781	dont	0.0107462	0	0
11.815	dont	0.0135644	0	0
11.848	dont	0.0099473	0	0
11.882	dont	0.0108794	0	0
11.915	dont	0.0102755	0	0
11.948	dont	0.0084272	0	0
11.982	dont	0.0092152	0	0
12.015	dont	0.0110224	0	0
12.048	dont	0.0098396	0	0
12.082	dont	0.0099410	0	0
12.115	dont	0.0112027	0	0
12.148	dont	0.0114952	0	0
12.182	dont	0.0104328	0	0
12.215	dont	0.0104867	0	0
12.249	dont	0.0105521	0	0
12.282	dont	0.0109597	0	0
12.315	dont	0.0117431	0	0
12.349	dont	0.0120640	0	0
12.382	dont	0.0099031	0	0
12.415	dont	0.0106643	0	0
12.449	dont	0.0108506	0	0
12.482	dont	0.0104388	0	0
12.516	dont	0.0106702	0	0
12.549	dont	0.0151892	0	0
12.582	dont	0.0120640	0	0
12.616	dont	0.0146946	0	0
12.649	dont	0.0113526	0	0
12.682	dont	0.0127062	0	0
12.716	dont	0.0127505	0	0
12.749	dont	0.0142313	0	0
12.782	dont	0.0124422	0	0
12.816	dont	0.0101344	0	0
12.849	dont	0.0110281	0	0
12.883	dont	0.0103242	0	0
12.916	dont	0.0112807	0	0
12.949	dont	0.0105165	0	0
12.983	dont	0.0111129	0	0
13.016	dont	0.0119020	0	0
13.049	dont	0.0110904	0	0
13.083	dont	0.0124473	0	0
13.116	dont	0.0105165	0	0
13.149	dont	0.0119125	0	0
13.183	dont	0.0131804	0	0
13.216	dont	0.0154183	0	0
13.250	dont	0.0119125	0	0
13.283	dont	0.0095882	0	0
13.316	dont	0.0116897	0	0
13.350	dont	0.0117910	0	0
13.383	dont	0.0108909	0	0
13.416	dont	0.0133362	0	0
13.450	dont	0.0119178	0	0
13.483	dont	0.0109368	0	0
13.517	dont	0.0101529	0	0
13.550	dont	0.0119807	0	0
13.583	dont	0.0121313	0	0
13.617	dont	0.0099975	0	0
13.650	dont	0.0116736	0	0
13.683	dont	0.0099284	0	0
13.717	dont	0.0114515	0	0
13.750	dont	0.0107695	0	0
13.783	dont	0.0098205	0	0
13.817	dont	0.0101034	0	0
13.850	dont	0.0118704	0	0
13.884	dont	0.0117324	0	0
13.917	dont	0.0119336	0	0
13.950	dont	0.0117431	0	0
13.984	dont	0.0126122	0	0
14.017	dont	0.0147244	0	0
14.050	dont	0.0134531	0	0
14.084	dont	0.0117378	0	0
14.117	dont	0.0129600	0	0
14.150	dont	0.0126122	0	0
14.184	dont	0.0137478	0	0
14.217	dont	0.0143103	0	0
14.251	dont	0.0116736	0	0
14.284	dont	0.0212226	0	0
14.317	dont	0.0199479	0	0
14.351	dont	0.0161988	0	0
14.384	dont	0.0154346	0	0
14.417	dont	0.0135274	0	0
14.451	dont	0.0121055	0	0
14.484	dont	0.0149858	0	0
14.518	dont	0.0121726	0	0
14.551	dont	0.0117111	0	0
14.584	dont	0.0118122	0	0
14.618	dont	0.0128191	0	0
14.651	dont	0.0149398	0	0
