time	block	discomfort	scaled discomfort
0.000	Don't Blink	0.30451866	0.47839506
0.218	Don't blink	0.30451866	0.47839506
0.484	Don't blink	0.30451866	0.47839506
0.750	Don't blink	0.30451866	0.47839506
1.015	Don't blink	0.30451866	0.47839506
1.281	Don't blink	0.30451866	0.47839506
1.546	Don't blink	0.30451866	0.47839506
1.812	Don't blink	0.30451866	0.47839506
2.078	Don't blink	0.30451866	0.47839506
2.343	Don't blink	0.30451866	0.47839506
2.609	Don't blink	0.30451866	0.47839506
2.875	Don't blink	0.30451866	0.47839506
3.140	Don't blink	0.30451866	0.47839506
3.406	Don't blink	0.30451866	0.47839506
3.671	Don't blink	0.30451866	0.47839506
3.937	Don't blink	0.30451866	0.47839506
4.203	Don't blink	0.30451866	0.47839506
4.468	Don't blink	0.30451866	0.47839506
4.734	Don't blink	0.35363458	0.55555556
5.000	Don't blink	0.54027505	0.84876543
5.265	Don't blink	0.83497053	1.31172840
5.531	Don't blink	1.11984283	1.75925926
5.796	Don't blink	1.41453831	2.22222222
6.062	Don't blink	1.57170923	2.46913580
6.328	Don't blink	1.78781925	2.80864198
6.593	Don't blink	2.03339882	3.19444444
6.859	Don't blink	2.21021611	3.47222222
7.125	Don't blink	2.22003929	3.48765432
7.390	Don't blink	2.22003929	3.48765432
7.656	Don't blink	2.21021611	3.47222222
7.921	Don't blink	2.18074656	3.42592593
8.187	Don't blink	2.18074656	3.42592593
8.453	Don't blink	2.37721022	3.73456790
8.718	Don't blink	2.60314342	4.08950617
8.984	Don't blink	2.81925344	4.42901235
9.250	Don't blink	2.85854617	4.49074074
9.515	Don't blink	2.85854617	4.49074074
9.781	Don't blink	2.85854617	4.49074074
10.046	Don't blink	2.93713163	4.61419753
10.312	Don't blink	2.71119843	4.25925926
10.578	Don't blink	2.27897839	3.58024691
10.843	Don't blink	2.03339882	3.19444444
11.109	Don't blink	1.93516699	3.04012346
11.375	Don't blink	1.86640472	2.93209877
11.640	Don't blink	1.51277014	2.37654321
11.906	Don't blink	1.44400786	2.26851852
12.171	Don't blink	1.26719057	1.99074074
12.437	Don't blink	1.28683694	2.02160494
12.703	Don't blink	1.40471513	2.20679012
12.968	Don't blink	1.40471513	2.20679012
13.234	Don't blink	1.40471513	2.20679012
13.500	Don't blink	1.40471513	2.20679012
13.765	Don't blink	1.40471513	2.20679012
14.031	Don't blink	1.40471513	2.20679012
14.296	Don't blink	1.40471513	2.20679012
14.562	Don't blink	1.40471513	2.20679012
14.828	Don't blink	1.44400786	2.26851852
15.093	Don't blink	1.47347741	2.31481481
15.359	Don't blink	2.13163065	3.34876543
15.625	Don't blink	2.39685658	3.76543210
15.890	Don't blink	2.66208251	4.18209877
16.156	Don't blink	2.93713163	4.61419753
16.421	Don't blink	3.22200393	5.06172840
16.671	Don't blink	3.52652259	5.54012346
16.937	Don't blink	3.50687623	5.50925926
17.203	Don't blink	3.50687623	5.50925926
17.468	Don't blink	3.50687623	5.50925926
17.734	Don't blink	3.50687623	5.50925926
18.000	Don't blink	3.54616896	5.57098765
18.265	Don't blink	3.54616896	5.57098765
18.531	Don't blink	3.57563851	5.61728395
18.796	Don't blink	3.70333988	5.81790123
19.062	Don't blink	3.90962672	6.14197531
19.328	Don't blink	4.17485265	6.55864198
19.593	Don't blink	4.52848723	7.11419753
19.859	Don't blink	4.91159136	7.71604938
20.125	Don't blink	5.21611002	8.19444444
20.390	Don't blink	5.33398821	8.37962963
20.656	Don't blink	5.34381139	8.39506173
20.921	Don't blink	5.34381139	8.39506173
21.187	Don't blink	5.32416503	8.36419753
21.453	Don't blink	3.81139489	5.98765432
21.718	Don't blink	3.42829077	5.38580247
21.984	Don't blink	3.50687623	5.50925926
22.250	Don't blink	3.50687623	5.50925926
22.515	Don't blink	3.50687623	5.50925926
22.781	Don't blink	3.50687623	5.50925926
23.046	Don't blink	3.50687623	5.50925926
23.312	Don't blink	3.52652259	5.54012346
23.578	Don't blink	3.53634578	5.55555556
23.843	Don't blink	4.03732809	6.34259259
24.109	Don't blink	4.49901768	7.06790123
24.375	Don't blink	4.63654224	7.28395062
24.640	Don't blink	4.63654224	7.28395062
24.906	Don't blink	4.63654224	7.28395062
25.171	Don't blink	4.63654224	7.28395062
25.437	Don't blink	4.63654224	7.28395062
25.703	Don't blink	4.62671906	7.26851852
25.968	Don't blink	4.62671906	7.26851852
26.234	Don't blink	4.62671906	7.26851852
26.500	Don't blink	4.64636542	7.29938272
26.765	Don't blink	4.65618861	7.31481481
27.031	Don't blink	4.65618861	7.31481481
27.296	Don't blink	4.65618861	7.31481481
27.562	Don't blink	4.65618861	7.31481481
27.828	Don't blink	4.66601179	7.33024691
28.093	Don't blink	4.66601179	7.33024691
28.359	Don't blink	4.66601179	7.33024691
28.625	Don't blink	4.66601179	7.33024691
28.890	Don't blink	4.66601179	7.33024691
29.156	Don't blink	4.66601179	7.33024691
29.421	Don't blink	4.74459725	7.45370370
29.687	Don't blink	4.81335953	7.56172840
29.953	Don't blink	5.02946955	7.90123457
30.218	Don't blink	5.09823183	8.00925926
30.484	Don't blink	5.09823183	8.00925926
30.750	Don't blink	5.09823183	8.00925926
31.015	Don't blink	5.09823183	8.00925926
31.281	Don't blink	5.09823183	8.00925926
31.546	Don't blink	5.11787819	8.04012346
31.812	Don't blink	5.11787819	8.04012346
32.078	Don't blink	5.11787819	8.04012346
32.343	Don't blink	5.11787819	8.04012346
32.609	Don't blink	5.13752456	8.07098765
32.875	Don't blink	5.13752456	8.07098765
33.140	Don't blink	5.13752456	8.07098765
33.406	Don't blink	5.13752456	8.07098765
33.671	Don't blink	5.30451866	8.33333333
33.937	Don't blink	5.39292731	8.47222222
34.203	Don't blink	5.42239686	8.51851852
34.468	Don't blink	5.51080550	8.65740741
34.734	Don't blink	5.56974460	8.75000000
35.000	Don't blink	5.57956778	8.76543210
35.265	Don't blink	5.57956778	8.76543210
35.531	Don't blink	5.57956778	8.76543210
35.796	Don't blink	5.08840864	7.99382716
36.062	Don't blink	4.59724951	7.22222222
36.328	Don't blink	4.33202358	6.80555556
36.593	Don't blink	4.33202358	6.80555556
36.859	Don't blink	4.33202358	6.80555556
37.125	Don't blink	4.32220039	6.79012346
37.390	Don't blink	4.32220039	6.79012346
37.656	Don't blink	4.32220039	6.79012346
37.921	Don't blink	4.07662083	6.40432099
38.187	Don't blink	3.88998035	6.11111111
38.453	Don't blink	3.80157171	5.97222222
38.718	Don't blink	3.80157171	5.97222222
38.984	Don't blink	3.80157171	5.97222222
39.250	Don't blink	3.80157171	5.97222222
39.515	Don't blink	3.82121807	6.00308642
39.781	Don't blink	3.82121807	6.00308642
40.046	Don't blink	3.82121807	6.00308642
40.312	Don't blink	3.83104126	6.01851852
40.578	Don't blink	3.83104126	6.01851852
40.843	Don't blink	3.83104126	6.01851852
41.109	Don't blink	3.84086444	6.03395062
41.375	Don't blink	3.81139489	5.98765432
41.640	Don't blink	2.97642436	4.67592593
41.890	Don't blink	2.77996071	4.36728395
42.156	Don't blink	2.63261297	4.13580247
42.421	Don't blink	2.59332024	4.07407407
42.687	Don't blink	2.51473477	3.95061728
42.953	Don't blink	2.34774067	3.68827160
43.218	Don't blink	2.26915521	3.56481481
43.484	Don't blink	2.12180747	3.33333333
43.750	Don't blink	2.00392927	3.14814815
44.015	Don't blink	2.02357564	3.17901235
44.281	Don't blink	2.03339882	3.19444444
44.546	Don't blink	2.03339882	3.19444444
44.812	Don't blink	2.03339882	3.19444444
45.078	Don't blink	2.03339882	3.19444444
45.343	Don't blink	2.03339882	3.19444444
45.609	Don't blink	2.03339882	3.19444444
45.875	Don't blink	2.02357564	3.17901235
46.140	Don't blink	2.02357564	3.17901235
46.406	Don't blink	2.02357564	3.17901235
46.671	Don't blink	2.03339882	3.19444444
46.937	Don't blink	2.04322200	3.20987654
47.203	Don't blink	2.06286837	3.24074074
47.468	Don't blink	2.10216110	3.30246914
47.734	Don't blink	2.14145383	3.36419753
48.000	Don't blink	2.17092338	3.41049383
48.265	Don't blink	2.18074656	3.42592593
48.531	Don't blink	2.19056974	3.44135802
48.796	Don't blink	2.20039293	3.45679012
49.062	Don't blink	2.21021611	3.47222222
49.328	Don't blink	2.22003929	3.48765432
49.593	Don't blink	2.23968566	3.51851852
49.859	Don't blink	2.26915521	3.56481481
50.125	Don't blink	2.27897839	3.58024691
