time lined up	block	rmse	false positive	false negative
0.008	dont	0.0106969	0	0
0.042	dont	0.0106705	0	0
0.075	dont	0.0105690	0	0
0.108	dont	0.0102478	0	0
0.142	dont	0.0102696	0	0
0.175	dont	0.0099367	0	0
0.209	dont	0.0098571	0	0
0.242	dont	0.0099414	0	0
0.275	dont	0.0100007	0	0
0.309	dont	0.0100346	0	0
0.342	dont	0.0100819	0	0
0.375	dont	0.0099245	0	0
0.409	dont	0.0098693	0	0
0.442	dont	0.0098003	0	0
0.475	dont	0.0094098	0	0
0.509	dont	0.0094206	0	0
0.542	dont	0.0093277	0	0
0.576	dont	0.0091345	0	0
0.609	dont	0.0089285	0	0
0.642	dont	0.0089476	0	0
0.676	dont	0.0088767	0	0
0.709	dont	0.0087318	0	0
0.742	dont	0.0086717	0	0
0.776	dont	0.0085357	0	0
0.809	dont	0.0085506	0	0
0.842	dont	0.0084720	0	0
0.876	dont	0.0085627	0	0
0.909	dont	0.0087488	0	0
0.943	dont	0.0088818	0	0
0.976	dont	0.0088254	0	0
1.009	dont	0.0088341	0	0
1.043	dont	0.0088331	0	0
1.076	dont	0.0087861	0	0
1.109	dont	0.0087323	0	0
1.143	dont	0.0089873	0	0
1.176	dont	0.0088861	0	0
1.210	dont	0.0087911	0	0
1.243	dont	0.0086009	0	0
1.276	dont	0.0086736	0	0
1.310	dont	0.0083771	0	0
1.343	dont	0.0084314	0	0
1.376	dont	0.0085672	0	0
1.410	dont	0.0087672	0	0
1.443	dont	0.0087151	0	0
1.476	dont	0.0087880	0	0
1.510	dont	0.0088320	0	0
1.543	dont	0.0088049	0	0
1.577	dont	0.0085818	0	0
1.610	dont	0.0087440	0	0
1.643	dont	0.0088868	0	0
1.677	dont	0.0088664	0	0
1.710	dont	0.0087722	0	0
1.743	dont	0.0091342	0	0
1.777	dont	0.0091837	0	0
1.810	dont	0.0091519	0	0
1.843	dont	0.0091905	0	0
1.877	dont	0.0093157	0	0
1.910	dont	0.0091588	0	0
