time lined up	block	rmse	false positive	false negative
-0.012	dont	0.015159	0	0
0.005	dont	0.019094	0	0
0.021	dont	0.018504	0	0
0.038	dont	0.020282	0	0
0.055	dont	0.020115	0	0
0.071	dont	0.016659	0	0
0.088	dont	0.014333	0	0
0.105	dont	0.011806	0	0
0.121	dont	0.011024	0	0
0.138	dont	0.010206	0	0
0.155	dont	0.009147	0	0
0.171	dont	0.011713	0	0
0.188	dont	0.011219	0	0
0.205	dont	0.010135	0	0
0.221	dont	0.008590	0	0
0.238	dont	0.010969	0	0
0.255	dont	0.012577	0	0
0.271	dont	0.013555	0	0
0.288	dont	0.012461	0	0
0.305	dont	0.012567	0	0
0.321	dont	0.014935	0	0
0.338	dont	0.013924	0	0
0.355	dont	0.013582	0	0
0.372	dont	0.015183	0	0
0.388	dont	0.015813	0	0
0.405	dont	0.015950	0	0
0.422	dont	0.014442	0	0
0.438	dont	0.013502	0	0
0.455	dont	0.015047	0	0
0.472	dont	0.012786	0	0
0.488	dont	0.012471	0	0
0.505	dont	0.013889	0	0
0.522	dont	0.015919	0	0
0.538	dont	0.012394	0	0
0.555	dont	0.013819	0	0
0.572	dont	0.011795	0	0
0.588	dont	0.012710	0	0
0.605	dont	0.011917	0	0
0.622	dont	0.013528	0	0
0.638	dont	0.014983	0	0
0.655	dont	0.014534	0	0
0.672	dont	0.014138	0	0
0.689	dont	0.015790	0	0
0.705	dont	0.013872	0	0
0.722	dont	0.013349	0	0
0.739	dont	0.013340	0	0
0.755	dont	0.013176	0	0
0.772	dont	0.014666	0	0
0.789	dont	0.013511	0	0
0.805	dont	0.014223	0	0
0.822	dont	0.014870	0	0
0.839	dont	0.015714	0	0
0.855	dont	0.012843	0	0
0.872	dont	0.014690	0	0
0.889	dont	0.016875	0	0
0.905	dont	0.015775	0	0
0.922	dont	0.009534	0	0
0.939	dont	0.013001	0	0
0.955	dont	0.013295	0	0
0.972	dont	0.013304	0	0
0.989	dont	0.013741	0	0
1.006	dont	0.013591	0	0
1.022	dont	0.015897	0	0
1.039	dont	0.014592	0	0
1.056	dont	0.013872	0	0
1.072	dont	0.015023	0	0
1.089	dont	0.016279	0	0
