time lined up	block	rmse	false positive	false negative
0.003	dont	0.0284194	0	0
0.036	dont	0.0284194	0	0
0.069	dont	0.0282346	0	0
0.103	dont	0.0277485	0	0
0.136	dont	0.0260363	0	0
0.169	dont	0.0243803	0	0
0.203	dont	0.0229714	0	0
0.236	dont	0.0214934	0	0
0.269	dont	0.0210498	0	0
0.303	dont	0.0225638	0	0
0.336	dont	0.0239080	0	0
0.370	dont	0.0247193	0	0
0.403	dont	0.0251747	0	0
0.436	dont	0.0250024	0	0
0.470	dont	0.0248877	0	0
0.503	dont	0.0245092	0	0
0.536	dont	0.0253043	0	0
0.570	dont	0.0255697	0	0
0.603	dont	0.0260811	0	0
0.636	dont	0.0261551	0	0
0.670	dont	0.0264445	0	0
0.703	dont	0.0259435	0	0
0.737	dont	0.0259113	0	0
0.770	dont	0.0258512	0	0
0.803	dont	0.0255811	0	0
0.837	dont	0.0253839	0	0
0.870	dont	0.0247103	0	0
0.903	dont	0.0239810	0	0
0.937	dont	0.0227455	0	0
0.970	dont	0.0217061	0	0
1.004	dont	0.0204667	0	0
1.037	dont	0.0192904	0	0
1.070	dont	0.0184309	0	0
1.104	dont	0.0179865	0	0
1.137	dont	0.0173612	0	0
1.170	dont	0.0165768	0	0
1.204	dont	0.0167539	0	0
1.237	dont	0.0167322	0	0
1.270	dont	0.0165408	0	0
1.304	dont	0.0161589	0	0
1.337	dont	0.0162381	0	0
1.371	dont	0.0153142	0	0
1.404	dont	0.0146571	0	0
1.437	dont	0.0142508	0	0
1.471	dont	0.0137039	0	0
1.504	dont	0.0134165	0	0
1.537	dont	0.0128462	0	0
1.571	dont	0.0119242	0	0
1.604	dont	0.0113756	0	0
1.637	dont	0.0116612	0	0
1.671	dont	0.0122388	0	0
1.704	dont	0.0132230	0	0
1.738	dont	0.0145979	0	0
1.771	dont	0.0154055	0	0
1.804	dont	0.0157428	0	0
1.838	dont	0.0157285	0	0
1.871	dont	0.0158310	0	0
1.904	dont	0.0152726	0	0
1.938	dont	0.0151401	0	0
1.971	dont	0.0150454	0	0
2.005	dont	0.0144059	0	0
2.038	dont	0.0140022	0	0
2.071	dont	0.0140881	0	0
2.105	dont	0.0136772	0	0
2.138	dont	0.0136701	0	0
2.171	dont	0.0140561	0	0
2.205	dont	0.0138309	0	0
2.238	dont	0.0137652	0	0
2.271	dont	0.0139399	0	0
2.305	dont	0.0138853	0	0
2.338	dont	0.0136246	0	0
2.372	dont	0.0138135	0	0
2.405	dont	0.0132402	0	0
2.438	dont	0.0126614	0	0
2.472	dont	0.0117158	0	0
2.505	dont	0.0108792	0	0
2.538	dont	0.0096498	0	0
2.572	dont	0.0088208	0	0
2.605	dont	0.0081121	0	0
2.638	dont	0.0079680	0	0
2.672	dont	0.0077030	0	0
2.705	dont	0.0076409	0	0
2.739	dont	0.0076616	0	0
2.772	dont	0.0078281	0	0
2.805	dont	0.0078359	0	0
2.839	dont	0.0079387	0	0
2.872	dont	0.0084644	0	0
2.905	dont	0.0089295	0	0
2.939	dont	0.0088806	0	0
2.972	dont	0.0090648	0	0
3.006	dont	0.0089339	0	0
3.039	dont	0.0082904	0	0
3.072	dont	0.0078781	0	0
3.106	dont	0.0077556	0	0
3.139	dont	0.0071981	0	0
3.172	dont	0.0068843	0	0
3.206	dont	0.0066715	0	0
3.239	dont	0.0066314	0	0
3.272	dont	0.0069945	0	0
3.306	dont	0.0075765	0	0
3.339	dont	0.0077348	0	0
3.373	dont	0.0081871	0	0
3.406	dont	0.0084338	0	0
3.439	dont	0.0086047	0	0
3.473	dont	0.0082545	0	0
3.506	dont	0.0084914	0	0
3.539	dont	0.0080274	0	0
3.573	dont	0.0075090	0	0
3.606	dont	0.0067705	0	0
3.639	dont	0.0061311	0	0
3.673	dont	0.0056508	0	0
3.706	dont	0.0056653	0	0
3.740	dont	0.0061837	0	0
3.773	dont	0.0064342	0	0
3.806	dont	0.0068541	0	0
3.840	dont	0.0073051	0	0
3.873	dont	0.0077035	0	0
3.906	dont	0.0079799	0	0
3.940	dont	0.0083881	0	0
3.973	dont	0.0087198	0	0
4.007	dont	0.0149813	0	0
4.040	dont	0.0197243	0	0
4.073	dont	0.0288278	0	0
4.107	dont	0.0375740	0	0
4.140	dont	0.0438753	0	0
4.173	dont	0.0468560	0	0
4.207	dont	0.0522053	0	0
4.240	dont	0.0534141	0	0
4.273	dont	0.0553414	0	0
4.307	dont	0.0626222	0	0
4.340	dont	0.0752358	0	0
4.374	dont	0.0857288	0	0
4.407	dont	0.0957547	0	0
4.440	dont	0.1045120	0	0
4.474	dont	0.1186690	0	0
4.507	dont	0.1213740	1	0
4.540	dont	0.1239940	1	0
4.574	dont	0.1264820	1	0
4.607	dont	0.1314110	1	0
4.640	dont	0.1290940	1	0
4.674	dont	0.1314660	1	0
4.707	dont	0.1436920	1	0
4.741	dont	0.1551750	1	0
4.774	dont	0.1667210	1	0
4.807	dont	0.1748220	1	0
4.841	dont	0.1716110	1	0
4.874	dont	0.1579400	1	0
4.907	dont	0.1452670	1	0
4.941	dont	0.1308600	1	0
4.974	dont	0.1193260	0	0
5.008	dont	0.1174580	0	0
5.041	dont	0.1176390	0	0
5.074	dont	0.1176700	0	0
5.108	dont	0.1178320	0	0
5.141	dont	0.1176240	0	0
5.174	dont	0.1175150	0	0
5.208	dont	0.1175160	0	0
5.241	dont	0.1174640	0	0
5.274	dont	0.1174820	0	0
5.308	dont	0.1174900	0	0
5.341	dont	0.1175350	0	0
5.375	dont	0.1174610	0	0
5.408	dont	0.1174340	0	0
5.441	dont	0.1171690	0	0
5.475	dont	0.1168140	0	0
5.508	dont	0.1164830	0	0
5.541	dont	0.1162560	0	0
5.575	dont	0.1162310	0	0
5.608	dont	0.1162320	0	0
5.641	dont	0.1163390	0	0
5.675	dont	0.1166410	0	0
5.708	dont	0.1169550	0	0
5.742	dont	0.1168290	0	0
5.775	dont	0.1169110	0	0
5.808	dont	0.1170360	0	0
5.842	dont	0.1169300	0	0
5.875	dont	0.1168280	0	0
5.908	dont	0.1172010	0	0
5.942	dont	0.1175750	0	0
5.975	dont	0.1176060	0	0
6.009	dont	0.1176810	0	0
6.042	dont	0.1177290	0	0
6.075	dont	0.1175150	0	0
6.109	dont	0.1172380	0	0
6.142	dont	0.1172390	0	0
6.175	dont	0.1172980	0	0
6.209	dont	0.1173840	0	0
6.242	dont	0.1174750	0	0
6.275	dont	0.1175640	0	0
6.309	dont	0.1176480	0	0
6.342	dont	0.1176380	0	0
6.376	dont	0.1175540	0	0
6.409	dont	0.1175490	0	0
6.442	dont	0.1174650	0	0
6.476	dont	0.1173920	0	0
6.509	dont	0.1172920	0	0
6.542	dont	0.1176330	0	0
6.576	dont	0.1179270	0	0
6.609	dont	0.1182600	0	0
6.642	dont	0.1186030	0	0
6.676	dont	0.1189630	0	0
6.709	dont	0.1187710	0	0
6.743	dont	0.1186110	0	0
6.776	dont	0.1184440	0	0
6.809	dont	0.1183870	0	0
6.843	dont	0.1180890	0	0
6.876	dont	0.1176720	0	0
6.909	dont	0.1174430	0	0
6.943	dont	0.1172990	0	0
6.976	dont	0.1170930	0	0
7.010	dont	0.1171180	0	0
7.043	dont	0.1174060	0	0
7.076	dont	0.1174280	0	0
7.110	dont	0.1174710	0	0
7.143	dont	0.1175050	0	0
7.176	dont	0.1174810	0	0
7.210	dont	0.1173770	0	0
7.243	dont	0.1174730	0	0
7.276	dont	0.1173030	0	0
7.310	dont	0.1170700	0	0
7.343	dont	0.1168630	0	0
7.377	dont	0.1167670	0	0
7.410	dont	0.1167920	0	0
7.443	dont	0.1167820	0	0
7.477	dont	0.1170090	0	0
7.510	dont	0.1172770	0	0
7.543	dont	0.1175870	0	0
7.577	dont	0.1175980	0	0
7.610	dont	0.1179280	0	0
7.643	dont	0.1180660	0	0
7.677	dont	0.1182170	0	0
7.710	dont	0.1183100	0	0
7.744	dont	0.1183290	0	0
7.777	dont	0.1183010	0	0
7.810	dont	0.1182340	0	0
7.844	dont	0.1181820	0	0
7.877	dont	0.1181220	0	0
7.910	dont	0.1181320	0	0
7.944	dont	0.1178530	0	0
7.977	dont	0.1178830	0	0
8.011	dont	0.1177520	0	0
8.044	dont	0.1176310	0	0
8.077	dont	0.1175210	0	0
8.111	dont	0.1177160	0	0
8.144	dont	0.1175850	0	0
8.177	dont	0.1180240	0	0
8.211	dont	0.1185170	0	0
8.244	dont	0.1189390	0	0
8.277	dont	0.1187100	0	0
8.311	dont	0.1187630	0	0
8.344	dont	0.1183630	0	0
8.378	dont	0.1178880	0	0
8.411	dont	0.1175290	0	0
8.444	dont	0.1178240	0	0
8.478	dont	0.1178220	0	0
8.511	dont	0.1178320	0	0
8.544	dont	0.1178950	0	0
8.578	dont	0.1178550	0	0
8.611	dont	0.1178350	0	0
8.644	dont	0.1179920	0	0
8.678	dont	0.1182690	0	0
8.711	dont	0.1184680	0	0
8.745	dont	0.1187530	0	0
8.778	dont	0.1189520	0	0
8.811	dont	0.1190180	0	0
8.845	dont	0.1190340	0	0
8.878	dont	0.1190000	0	0
8.911	dont	0.1189670	0	0
8.945	dont	0.1187220	0	0
8.978	dont	0.1182420	0	0
9.012	dont	0.1190980	0	0
9.045	dont	0.1188200	0	0
9.078	dont	0.1184800	0	0
9.112	dont	0.1183380	0	0
9.145	dont	0.1184990	0	0
9.178	dont	0.1175990	0	0
9.212	dont	0.1181750	0	0
9.245	dont	0.1187870	0	0
9.278	dont	0.1194370	0	0
9.312	dont	0.1196360	0	0
9.345	dont	0.1195610	0	0
9.379	dont	0.1192330	0	0
9.412	dont	0.1188410	0	0
9.445	dont	0.1185380	0	0
9.479	dont	0.1185200	0	0
9.512	dont	0.1184620	0	0
9.545	dont	0.1184030	0	0
9.579	dont	0.1184030	0	0
9.612	dont	0.1183490	0	0
9.645	dont	0.1183760	0	0
9.679	dont	0.1183600	0	0
9.712	dont	0.1185870	0	0
9.746	dont	0.1183740	0	0
9.779	dont	0.1181960	0	0
9.812	dont	0.1180190	0	0
9.846	dont	0.1179080	0	0
9.879	dont	0.1174920	0	0
9.912	dont	0.1175130	0	0
9.946	dont	0.1176870	0	0
9.979	dont	0.1178090	0	0
10.013	dont	0.1175630	0	0
10.046	dont	0.1172040	0	0
10.079	dont	0.1169810	0	0
10.113	dont	0.1165470	0	0
10.146	dont	0.1162050	0	0
10.179	dont	0.1162790	0	0
10.213	dont	0.1163680	0	0
10.246	dont	0.1166860	0	0
10.279	dont	0.1169740	0	0
10.313	dont	0.1172900	0	0
10.346	dont	0.1172410	0	0
10.380	dont	0.1172970	0	0
10.413	dont	0.1170300	0	0
10.446	dont	0.1167980	0	0
10.480	dont	0.1165520	0	0
10.513	dont	0.1165780	0	0
10.546	dont	0.1167550	0	0
10.580	dont	0.1168890	0	0
10.613	dont	0.1170260	0	0
10.646	dont	0.1171210	0	0
10.680	dont	0.1171720	0	0
10.713	dont	0.1170920	0	0
10.747	dont	0.1173900	0	0
10.780	dont	0.1176280	0	0
10.813	dont	0.1176840	0	0
10.847	dont	0.1174490	0	0
10.880	dont	0.1171760	0	0
10.913	dont	0.1165490	0	0
10.947	dont	0.1162350	0	0
10.980	dont	0.1161230	0	0
11.014	dont	0.1166770	0	0
11.047	dont	0.1172440	0	0
11.080	dont	0.1178430	0	0
11.114	dont	0.1178480	0	0
11.147	dont	0.1174720	0	0
11.180	dont	0.1168330	0	0
11.214	dont	0.1161880	0	0
11.247	dont	0.1156670	0	0
11.280	dont	0.1154990	0	0
11.314	dont	0.1156920	0	0
11.347	dont	0.1158450	0	0
11.381	dont	0.1159110	0	0
11.414	dont	0.1157220	0	0
11.447	dont	0.1159700	0	0
11.481	dont	0.1162460	0	0
11.514	dont	0.1164640	0	0
11.547	dont	0.1168490	0	0
11.581	dont	0.1173030	0	0
11.614	dont	0.1172490	0	0
11.647	dont	0.1169870	0	0
11.681	dont	0.1168040	0	0
11.714	dont	0.1168140	0	0
11.748	dont	0.1168220	0	0
11.781	dont	0.1169350	0	0
11.814	dont	0.1171850	0	0
11.848	dont	0.1177320	0	0
11.881	dont	0.1180650	0	0
11.914	dont	0.1183710	0	0
11.948	dont	0.1183700	0	0
11.981	dont	0.1185490	0	0
12.015	dont	0.1183950	0	0
12.048	dont	0.1183440	0	0
12.081	dont	0.1180790	0	0
12.115	dont	0.1183720	0	0
12.148	dont	0.1184630	0	0
12.181	dont	0.1185760	0	0
12.215	dont	0.1183720	0	0
12.248	dont	0.1190770	0	0
12.281	dont	0.1191140	0	0
12.315	dont	0.1195710	0	0
12.348	dont	0.1200440	1	0
12.382	dont	0.1207010	1	0
12.415	dont	0.1207210	1	0
12.448	dont	0.1210910	1	0
12.482	dont	0.1211100	1	0
12.515	dont	0.1210400	1	0
12.548	dont	0.1206040	1	0
12.582	dont	0.1201020	1	0
12.615	dont	0.1195980	0	0
12.648	dont	0.1186170	0	0
12.682	dont	0.1175440	0	0
12.715	dont	0.1170130	0	0
12.749	dont	0.1178800	0	0
12.782	dont	0.1181340	0	0
12.815	dont	0.1187900	0	0
12.849	dont	0.1195300	0	0
12.882	dont	0.1201530	1	0
12.915	dont	0.1193050	0	0
12.949	dont	0.1194370	0	0
12.982	dont	0.1189410	0	0
13.016	dont	0.1186260	0	0
13.049	dont	0.1181470	0	0
13.082	dont	0.1177980	0	0
13.116	dont	0.1170600	0	0
13.149	dont	0.1170630	0	0
13.182	dont	0.1168020	0	0
13.216	dont	0.1169050	0	0
13.249	dont	0.1169900	0	0
13.282	dont	0.1171850	0	0
13.316	dont	0.1175010	0	0
13.349	dont	0.1197820	0	0
13.383	dont	0.1217850	1	0
13.416	dont	0.1239520	1	0
13.449	dont	0.1260640	1	0
13.483	dont	0.1279660	1	0
13.516	dont	0.1279220	1	0
13.549	dont	0.1279700	1	0
13.583	dont	0.1279650	1	0
13.616	dont	0.1276150	1	0
13.649	dont	0.1273140	1	0
13.683	dont	0.1271490	1	0
13.716	dont	0.1269880	1	0
13.750	dont	0.1267340	1	0
13.783	dont	0.1268290	1	0
13.816	dont	0.1265240	1	0
13.850	dont	0.1257230	1	0
13.883	dont	0.1252140	1	0
13.916	dont	0.1247730	1	0
13.950	dont	0.1244420	1	0
13.983	dont	0.1242920	1	0
14.017	dont	0.1246500	1	0
14.050	dont	0.1250780	1	0
14.083	dont	0.1251310	1	0
14.117	dont	0.1256330	1	0
14.150	dont	0.1256900	1	0
14.183	dont	0.1258120	1	0
14.217	dont	0.1242330	1	0
14.250	dont	0.1229390	1	0
14.283	dont	0.1209360	1	0
14.317	dont	0.1195980	0	0
14.350	dont	0.1181850	0	0
14.384	dont	0.1180580	0	0
14.417	dont	0.1179290	0	0
14.450	dont	0.1177980	0	0
14.484	dont	0.1176850	0	0
14.517	dont	0.1175290	0	0
14.550	dont	0.1172640	0	0
14.584	dont	0.1172350	0	0
14.617	dont	0.1173290	0	0
14.650	dont	0.1174600	0	0
14.684	dont	0.1176070	0	0
14.717	dont	0.1179210	0	0
14.751	dont	0.1179820	0	0
14.784	dont	0.1180630	0	0
14.817	dont	0.1181090	0	0
14.851	dont	0.1181880	0	0
14.884	dont	0.1185400	0	0
14.917	dont	0.1182750	0	0
14.951	dont	0.1183400	0	0
14.984	dont	0.1183250	0	0
15.018	dont	0.1180500	0	0
15.051	dont	0.1174710	0	0
15.084	dont	0.1179170	0	0
15.118	dont	0.1179750	0	0
15.151	dont	0.1180670	0	0
15.184	dont	0.1186190	0	0
15.218	dont	0.1190730	0	0
15.251	dont	0.1187190	0	0
15.284	dont	0.1184030	0	0
15.318	dont	0.1181280	0	0
15.351	dont	0.1176900	0	0
15.385	dont	0.1172650	0	0
15.418	dont	0.1173310	0	0
15.451	dont	0.1174050	0	0
15.485	dont	0.1174320	0	0
15.518	dont	0.1173700	0	0
15.551	dont	0.1178250	0	0
15.585	dont	0.1183300	0	0
15.618	dont	0.1187540	0	0
15.651	dont	0.1191780	0	0
15.685	dont	0.1194340	0	0
15.718	dont	0.1189190	0	0
15.752	dont	0.1186240	0	0
15.785	dont	0.1184050	0	0
15.818	dont	0.1182100	0	0
15.852	dont	0.1179160	0	0
15.885	dont	0.1177160	0	0
15.918	dont	0.1172140	0	0
15.952	dont	0.1169140	0	0
15.985	dont	0.1171210	0	0
16.019	dont	0.1176290	0	0
16.052	dont	0.1183440	0	0
16.085	dont	0.1190400	0	0
16.119	dont	0.1195350	0	0
16.152	dont	0.1194830	0	0
16.185	dont	0.1194190	0	0
16.219	dont	0.1193570	0	0
16.252	dont	0.1189740	0	0
16.285	dont	0.1186750	0	0
16.319	dont	0.1184860	0	0
16.352	dont	0.1181010	0	0
16.386	dont	0.1188310	0	0
16.419	dont	0.1189500	0	0
16.452	dont	0.1189670	0	0
16.486	dont	0.1192650	0	0
16.519	dont	0.1193820	0	0
16.552	dont	0.1182710	0	0
16.586	dont	0.1179390	0	0
16.619	dont	0.1178520	0	0
16.652	dont	0.1173330	0	0
16.686	dont	0.1172020	0	0
16.719	dont	0.1171600	0	0
16.753	dont	0.1171370	0	0
16.786	dont	0.1168140	0	0
16.819	dont	0.1168470	0	0
16.853	dont	0.1168760	0	0
16.886	dont	0.1166880	0	0
16.919	dont	0.1168460	0	0
16.953	dont	0.1169650	0	0
16.986	dont	0.1168710	0	0
17.020	dont	0.1159210	0	0
17.053	dont	0.1152200	0	0
17.086	dont	0.1145100	0	0
17.120	dont	0.1145620	0	0
17.153	dont	0.1146800	0	0
17.186	dont	0.1156330	0	0
17.220	dont	0.1168890	0	0
17.253	dont	0.1179620	0	0
17.286	dont	0.1183610	0	0
17.320	dont	0.1187070	0	0
17.353	dont	0.1190640	0	0
17.387	dont	0.1191140	0	0
17.420	dont	0.1191250	0	0
17.453	dont	0.1179740	0	0
17.487	dont	0.1175310	0	0
17.520	dont	0.1170580	0	0
17.553	dont	0.1172790	0	0
17.587	dont	0.1176030	0	0
17.620	dont	0.1191960	0	0
17.653	dont	0.1199870	0	0
17.687	dont	0.1208310	1	0
17.720	dont	0.1209640	1	0
17.754	dont	0.1210360	1	0
17.787	dont	0.1209880	1	0
17.820	dont	0.1209660	1	0
17.854	dont	0.1211010	1	0
17.887	dont	0.1213890	1	0
17.920	dont	0.1209830	1	0
17.954	dont	0.1206170	1	0
17.987	dont	0.1199730	0	0
18.021	dont	0.1190950	0	0
18.054	dont	0.1181170	0	0
18.087	dont	0.1178130	0	0
18.121	dont	0.1175210	0	0
18.154	dont	0.1175410	0	0
18.187	dont	0.1176090	0	0
18.221	dont	0.1176670	0	0
18.254	dont	0.1174520	0	0
18.287	dont	0.1174980	0	0
18.321	dont	0.1174670	0	0
18.354	dont	0.1174260	0	0
18.388	dont	0.1173910	0	0
18.421	dont	0.1176310	0	0
18.454	dont	0.1175760	0	0
18.488	dont	0.1175390	0	0
18.521	dont	0.1175090	0	0
18.554	dont	0.1178420	0	0
18.588	dont	0.1181110	0	0
18.621	dont	0.1184440	0	0
18.654	dont	0.1184820	0	0
18.688	dont	0.1184970	0	0
18.721	dont	0.1181140	0	0
18.755	dont	0.1178230	0	0
18.788	dont	0.1175060	0	0
18.821	dont	0.1176600	0	0
18.855	dont	0.1181780	0	0
18.888	dont	0.1180720	0	0
18.921	dont	0.1184820	0	0
18.955	dont	0.1189300	0	0
18.988	dont	0.1188320	0	0
19.022	dont	0.1180880	0	0
19.055	dont	0.1179800	0	0
19.088	dont	0.1175510	0	0
19.122	dont	0.1168160	0	0
19.155	dont	0.1163630	0	0
19.188	dont	0.1157450	0	0
19.222	dont	0.1156080	0	0
19.255	dont	0.1155140	0	0
19.288	dont	0.1156840	0	0
19.322	dont	0.1160120	0	0
19.355	dont	0.1167710	0	0
19.389	dont	0.1170840	0	0
19.422	dont	0.1170740	0	0
19.455	dont	0.1170520	0	0
19.489	dont	0.1169700	0	0
19.522	dont	0.1169610	0	0
19.555	dont	0.1167060	0	0
19.589	dont	0.1167170	0	0
19.622	dont	0.1166790	0	0
19.655	dont	0.1166750	0	0
19.689	dont	0.1166620	0	0
19.722	dont	0.1168600	0	0
19.756	dont	0.1168460	0	0
19.789	dont	0.1168640	0	0
19.822	dont	0.1168990	0	0
19.856	dont	0.1169320	0	0
19.889	dont	0.1169520	0	0
19.922	dont	0.1169210	0	0
19.956	dont	0.1167730	0	0
19.989	dont	0.1166070	0	0
20.023	dont	0.1164790	0	0
20.056	dont	0.1162780	0	0
20.089	dont	0.1161580	0	0
20.123	dont	0.1161840	0	0
20.156	dont	0.1164440	0	0
20.189	dont	0.1166430	0	0
20.223	dont	0.1169280	0	0
20.256	dont	0.1171590	0	0
20.289	dont	0.1174370	0	0
20.323	dont	0.1174590	0	0
20.356	dont	0.1173770	0	0
20.390	dont	0.1172230	0	0
20.423	dont	0.1173830	0	0
20.456	dont	0.1178560	0	0
20.490	dont	0.1182470	0	0
20.523	dont	0.1190010	0	0
20.556	dont	0.1198630	0	0
20.590	dont	0.1204250	1	0
20.623	dont	0.1206600	1	0
20.656	dont	0.1209740	1	0
20.690	dont	0.1209710	1	0
20.723	dont	0.1198780	0	0
20.757	dont	0.1188130	0	0
20.790	dont	0.1184370	0	0
20.823	dont	0.1177250	0	0
20.857	dont	0.1170690	0	0
20.890	dont	0.1173490	0	0
20.923	dont	0.1174120	0	0
20.957	dont	0.1167810	0	0
20.990	dont	0.1164890	0	0
21.024	dont	0.1163780	0	0
21.057	dont	0.1164140	0	0
21.090	dont	0.1166220	0	0
21.124	dont	0.1168570	0	0
21.157	dont	0.1170100	0	0
21.190	dont	0.1170410	0	0
21.224	dont	0.1170350	0	0
21.257	dont	0.1170600	0	0
21.290	dont	0.1169920	0	0
21.324	dont	0.1170510	0	0
21.357	dont	0.1170340	0	0
21.391	dont	0.1170300	0	0
21.424	dont	0.1170030	0	0
21.457	dont	0.1169810	0	0
21.491	dont	0.1169130	0	0
21.524	dont	0.1168960	0	0
21.557	dont	0.1168470	0	0
21.591	dont	0.1168100	0	0
