time lined up	block	rmse	false positive	false negative
0.001	dont	0.012463	0	0
0.017	dont	0.012582	0	0
0.034	dont	0.009654	0	0
0.051	dont	0.010155	0	0
0.067	dont	0.012674	0	0
0.084	dont	0.011711	0	0
0.101	dont	0.013034	0	0
0.117	dont	0.009180	0	0
0.134	dont	0.008231	0	0
0.151	dont	0.007840	0	0
0.167	dont	0.010522	0	0
0.184	dont	0.012195	0	0
0.201	dont	0.014980	0	0
0.217	dont	0.012450	0	0
0.234	dont	0.012569	0	0
0.251	dont	0.010663	0	0
0.267	dont	0.013034	0	0
0.284	dont	0.012569	0	0
0.301	dont	0.009017	0	0
0.318	dont	0.009358	0	0
0.334	dont	0.011541	0	0
0.351	dont	0.016672	0	0
0.368	dont	0.020934	0	0
0.384	dont	0.017256	0	0
0.401	dont	0.017256	0	0
0.418	dont	0.033698	1	0
0.434	dont	0.039775	0	0
0.451	dont	0.038216	0	0
0.468	dont	0.035068	0	0
0.484	dont	0.021518	0	1
0.501	dont	0.015817	0	1
0.518	dont	0.014600	0	1
0.534	dont	0.015670	0	0
0.551	dont	0.017247	0	0
0.568	dont	0.015983	0	0
0.584	dont	0.015329	0	0
0.601	dont	0.018468	0	0
0.618	dont	0.020219	0	0
0.635	dont	0.027492	0	0
0.651	dont	0.028105	0	0
0.668	dont	0.022619	0	0
0.685	dont	0.020503	0	0
0.701	dont	0.022626	0	0
0.718	dont	0.020552	0	0
0.735	dont	0.024261	0	0
0.751	dont	0.028409	0	0
0.768	dont	0.026042	0	0
0.785	dont	0.022575	0	0
0.801	dont	0.022435	0	0
0.818	dont	0.019248	0	0
0.835	dont	0.024640	0	0
0.851	dont	0.020536	0	0
0.868	dont	0.022501	0	0
0.885	dont	0.026532	0	0
0.901	dont	0.027785	0	0
0.918	dont	0.027312	0	0
0.935	dont	0.024343	0	0
0.951	dont	0.023661	0	0
0.968	dont	0.024465	0	0
0.985	dont	0.022988	0	0
1.002	dont	0.023317	0	0
1.018	dont	0.020146	0	0
1.035	dont	0.012752	0	0
1.052	dont	0.019316	0	0
1.068	dont	0.022531	0	0
1.085	dont	0.016462	0	0
1.102	dont	0.013845	0	0
1.118	dont	0.019222	0	0
1.135	dont	0.013988	0	0
1.152	dont	0.014521	0	0
1.168	dont	0.012556	0	0
1.185	dont	0.012168	0	0
1.202	dont	0.010709	0	0
1.218	dont	0.012490	0	0
1.235	dont	0.013059	0	0
1.252	dont	0.013797	0	0
1.268	dont	0.011177	0	0
1.285	dont	0.008998	0	0
1.302	dont	0.011353	0	0
1.319	dont	0.012383	0	0
1.335	dont	0.011963	0	0
1.352	dont	0.015775	0	0
1.369	dont	0.017895	0	0
1.385	dont	0.014430	0	0
1.402	dont	0.015340	0	0
1.419	dont	0.014070	0	0
1.435	dont	0.014623	0	0
1.452	dont	0.014210	0	0
1.469	dont	0.015681	0	0
1.485	dont	0.012543	0	0
1.502	dont	0.017466	0	0
1.519	dont	0.017475	0	0
1.535	dont	0.017102	0	0
1.552	dont	0.021255	0	0
1.569	dont	0.016291	0	0
1.585	dont	0.015786	0	0
1.602	dont	0.015911	0	0
1.619	dont	0.016512	0	0
1.636	dont	0.018910	0	0
1.652	dont	0.017597	0	0
1.669	dont	0.017285	0	0
1.686	dont	0.016839	0	0
1.702	dont	0.018125	0	0
1.719	dont	0.021625	0	0
1.736	dont	0.021317	0	0
1.752	dont	0.021076	0	0
