time	rmse	false positive	false negative
4.971	0.0062989	0	0
5.005	0.0062989	0	0
5.038	0.0062989	0	0
5.071	0.0060038	0	0
5.105	0.0060264	0	0
5.138	0.0060651	0	0
5.171	0.0059764	0	0
5.205	0.0056761	0	0
5.238	0.0056546	0	0
5.271	0.0053908	0	0
5.305	0.0051558	0	0
5.338	0.0049855	0	0
5.372	0.0052585	0	0
5.405	0.0053471	0	0
5.438	0.0053600	0	0
5.472	0.0053420	0	0
5.505	0.0053838	0	0
5.538	0.0050882	0	0
5.572	0.0049541	0	0
5.605	0.0049623	0	0
5.638	0.0048660	0	0
5.672	0.0047711	0	0
5.705	0.0046278	0	0
5.739	0.0044378	0	0
5.772	0.0042792	0	0
5.805	0.0041759	0	0
5.839	0.0043615	0	0
5.872	0.0048005	0	0
5.905	0.0047921	0	0
5.939	0.0050573	0	0
5.972	0.0052501	0	0
6.006	0.0052556	0	0
6.039	0.0050694	0	0
6.072	0.0052449	0	0
6.106	0.0050810	0	0
6.139	0.0051621	0	0
6.172	0.0053236	0	0
6.206	0.0053577	0	0
6.239	0.0056338	0	0
6.272	0.0056700	0	0
6.306	0.0055820	0	0
6.339	0.0055247	0	0
6.373	0.0056488	0	0
6.406	0.0055206	0	0
6.439	0.0056347	0	0
6.473	0.0055633	0	0
6.506	0.0055165	0	0
6.539	0.0052585	0	0
6.573	0.0051526	0	0
6.606	0.0049673	0	0
6.639	0.0050923	0	0
6.673	0.0048649	0	0
6.706	0.0050700	0	0
6.740	0.0053678	0	0
6.773	0.0075137	0	0
6.806	0.0135431	0	0
6.840	0.0201991	0	0
6.873	0.0249693	0	0
6.906	0.0278221	0	0
6.940	0.0274503	0	0
6.973	0.0224389	1	0
7.007	0.0166250	0	0
7.040	0.0120804	0	0
7.073	0.0093405	0	0
7.107	0.0082721	0	0
7.140	0.0075099	0	0
7.173	0.0070021	0	0
7.207	0.0068538	0	0
7.240	0.0066252	0	0
7.273	0.0058601	0	0
7.307	0.0056365	0	0
7.340	0.0054754	0	0
7.374	0.0053016	0	0
7.407	0.0050774	0	0
7.440	0.0052833	0	0
7.474	0.0052201	0	0
7.507	0.0052523	0	0
7.540	0.0053597	0	0
7.574	0.0056394	0	0
7.607	0.0057178	0	0
7.640	0.0058946	0	0
7.674	0.0060082	0	0
7.707	0.0059232	0	0
7.741	0.0055874	0	0
7.774	0.0054560	0	0
7.807	0.0052262	0	0
7.841	0.0050335	0	0
7.874	0.0048295	0	0
7.907	0.0049321	0	0
7.941	0.0049459	0	0
7.974	0.0049340	0	0
8.008	0.0048909	0	0
8.041	0.0049188	0	0
8.074	0.0047245	0	0
8.108	0.0047714	0	0
8.141	0.0050434	0	0
8.174	0.0050552	0	0
8.208	0.0052531	0	0
8.241	0.0056449	0	0
8.274	0.0055714	0	0
8.308	0.0056616	0	0
8.341	0.0055742	0	0
8.375	0.0053850	0	0
8.408	0.0050776	0	0
8.441	0.0051008	0	0
8.475	0.0050753	0	0
8.508	0.0052483	0	0
8.541	0.0053793	0	0
8.575	0.0054759	0	0
8.608	0.0054907	0	0
8.641	0.0052422	0	0
8.675	0.0053365	0	0
8.708	0.0053937	0	0
8.742	0.0052909	0	0
8.775	0.0053470	0	0
8.808	0.0054565	0	0
8.842	0.0056157	0	0
8.875	0.0057183	0	0
8.908	0.0061596	0	0
8.942	0.0060514	0	0
8.975	0.0060702	0	0
9.009	0.0058253	0	0
9.042	0.0057050	0	0
9.075	0.0054360	0	0
9.109	0.0054938	0	0
9.142	0.0055586	0	0
9.175	0.0056110	0	0
9.209	0.0057026	0	0
9.242	0.0054697	0	0
9.275	0.0055137	0	0
9.309	0.0055475	0	0
9.342	0.0055414	0	0
9.376	0.0055710	0	0
9.409	0.0058206	0	0
9.442	0.0057642	0	0
9.476	0.0057515	0	0
9.509	0.0056581	0	0
9.542	0.0055049	0	0
9.576	0.0056744	0	0
9.609	0.0060210	0	0
9.642	0.0058231	0	0
9.676	0.0059845	0	0
9.709	0.0059845	0	0
9.743	0.0057026	0	0
9.776	0.0054943	0	0
9.809	0.0055816	0	0
9.843	0.0073357	0	0
9.876	0.0118096	0	0
9.909	0.0154072	0	1
9.943	0.0174317	0	1
9.976	0.0190404	0	1
10.010	0.0183887	0	0
10.043	0.0149142	0	0
10.076	0.0118775	0	0
10.110	0.0098195	0	0
10.143	0.0083759	0	0
10.176	0.0072219	0	0
10.210	0.0063814	0	0
10.243	0.0057829	0	0
10.276	0.0055752	0	0
10.310	0.0052673	0	0
10.343	0.0052784	0	0
10.377	0.0075755	0	0
10.410	0.0121193	0	0
10.443	0.0166108	0	0
10.477	0.0212458	1	0
10.510	0.0256433	1	0
10.543	0.0278675	1	0
