time	rmse	false positive	false negative
2.969	0.0160887	0	0
3.003	0.0167274	0	0
3.036	0.0138967	0	0
3.069	0.0154368	0	0
3.103	0.0136975	0	0
3.136	0.0155091	0	0
3.169	0.0123951	0	0
3.203	0.0134350	0	0
3.236	0.0174770	0	0
3.269	0.0147353	0	0
3.303	0.0154499	0	0
3.336	0.0152444	0	0
3.370	0.0160126	0	0
3.403	0.0154302	0	0
3.436	0.0176335	0	0
3.470	0.0170527	0	0
3.503	0.0168908	0	0
3.536	0.0162210	0	0
3.570	0.0165869	0	0
3.603	0.0154697	0	0
3.636	0.0131673	0	0
3.670	0.0132059	0	0
3.703	0.0172956	0	0
3.737	0.0160570	0	0
3.770	0.0159553	0	0
3.803	0.0127990	0	0
3.837	0.0161581	0	0
3.870	0.0160507	0	0
3.903	0.0125987	0	0
3.937	0.0163770	0	0
3.970	0.0141650	0	0
4.004	0.0125014	0	0
4.037	0.0139988	0	0
4.070	0.0158016	0	0
4.104	0.0160887	0	0
4.137	0.0135106	0	0
4.170	0.0131131	0	0
4.204	0.0126952	0	0
4.237	0.0144494	0	0
4.270	0.0170049	0	0
4.304	0.0171479	0	0
4.337	0.0147008	0	0
4.371	0.0153508	0	0
4.404	0.0175584	0	0
4.437	0.0122298	0	0
4.471	0.0126711	0	0
4.504	0.0117200	0	0
4.537	0.0132904	0	0
4.571	0.0111049	0	0
4.604	0.0153707	0	0
4.637	0.0126067	0	0
4.671	0.0122382	0	0
4.704	0.0167881	0	0
4.738	0.0164638	0	0
4.771	0.0130040	0	0
4.804	0.0139915	0	0
4.838	0.0148865	0	0
4.871	0.0151976	0	0
4.904	0.0154697	0	0
4.938	0.0144142	0	0
4.971	0.0133667	0	0
5.005	0.0167517	0	0
5.038	0.0162021	0	0
5.071	0.0146035	0	0
5.105	0.0164700	0	0
5.138	0.0135181	0	0
5.171	0.0135557	0	0
5.205	0.0159553	0	0
5.238	0.0141146	0	0
5.271	0.0151238	0	0
5.305	0.0157500	0	0
5.338	0.0171894	0	0
5.372	0.0145127	0	0
5.405	0.0146383	0	0
5.438	0.0200425	0	0
5.472	0.0126952	0	0
5.505	0.0125906	0	0
5.538	0.0145687	0	0
5.572	0.0127112	0	0
5.605	0.0188495	0	0
5.638	0.0147215	0	0
5.672	0.0149478	0	0
5.705	0.0147146	0	0
5.739	0.0156787	0	0
5.772	0.0137716	0	0
5.805	0.0158016	0	0
5.839	0.0162272	0	0
5.872	0.0151372	0	0
5.905	0.0222966	0	0
5.939	0.0249824	0	0
5.972	0.0215730	0	0
6.006	0.0176451	0	0
6.039	0.0136455	0	0
6.072	0.0110498	0	0
6.106	0.0122631	0	0
6.139	0.0153176	0	0
6.172	0.0145617	0	0
6.206	0.0160634	0	0
6.239	0.0127671	0	0
6.272	0.0124932	0	0
6.306	0.0122049	0	0
6.339	0.0096856	0	0
6.373	0.0131286	0	0
6.406	0.0122382	0	0
6.439	0.0120201	0	0
6.473	0.0135557	0	0
6.506	0.0157822	0	0
6.539	0.0153243	0	0
6.573	0.0151909	0	0
6.606	0.0136604	0	0
6.639	0.0108734	0	0
6.673	0.0102571	0	0
6.706	0.0122879	0	0
6.740	0.0134880	0	0
6.773	0.0177486	0	0
6.806	0.0111140	0	0
6.840	0.0180386	0	0
6.873	0.0150022	0	0
6.906	0.0161833	0	0
6.940	0.0120285	0	0
6.973	0.0130898	0	0
7.007	0.0152244	0	0
7.040	0.0114744	0	0
7.073	0.0144565	0	0
7.107	0.0126792	0	0
7.140	0.0141650	0	0
7.173	0.0115275	0	0
7.207	0.0129491	0	0
7.240	0.0148385	0	0
7.273	0.0141218	0	0
7.307	0.0154960	0	0
7.340	0.0146938	0	0
7.374	0.0154762	0	0
7.407	0.0158786	0	0
7.440	0.0147146	0	0
7.474	0.0142581	0	0
7.507	0.0153641	0	0
7.540	0.0172662	0	0
7.574	0.0144776	0	0
7.607	0.0140206	0	0
7.640	0.0162961	0	0
7.674	0.0146800	0	0
7.707	0.0155484	0	0
7.741	0.0166726	0	0
7.774	0.0150834	0	0
7.807	0.0127512	0	0
7.841	0.0137050	0	0
7.874	0.0149410	0	0
7.907	0.0125095	0	0
7.941	0.0132751	0	0
7.974	0.0130743	0	0
8.008	0.0120201	0	0
8.041	0.0155746	0	0
8.074	0.0145896	0	0
8.108	0.0155353	0	0
8.141	0.0154894	0	0
8.174	0.0156007	0	0
8.208	0.0147077	0	0
8.241	0.0155746	0	0
8.274	0.0136305	0	0
8.308	0.0129413	0	0
8.341	0.0154038	0	0
8.375	0.0166359	0	0
8.408	0.0144565	0	0
8.441	0.0180892	0	0
8.475	0.0127831	0	0
8.508	0.0161329	0	0
8.541	0.0150022	0	0
8.575	0.0112686	0	0
8.608	0.0135106	0	0
8.641	0.0154828	0	0
8.675	0.0167578	0	0
8.708	0.0150631	0	0
8.742	0.0148111	0	0
8.775	0.0163895	0	0
8.808	0.0136678	0	0
8.842	0.0173485	0	0
8.875	0.0148385	0	0
8.908	0.0170885	0	0
8.942	0.0184733	0	0
8.975	0.0185228	0	0
9.009	0.0193239	0	0
9.042	0.0142295	0	0
9.075	0.0165316	0	0
9.109	0.0139624	0	0
9.142	0.0165070	0	0
9.175	0.0145057	0	0
9.209	0.0116591	0	0
9.242	0.0136604	0	0
9.275	0.0134426	0	0
9.309	0.0137124	0	0
9.342	0.0129962	0	0
9.376	0.0145687	0	0
9.409	0.0154104	0	0
9.442	0.0116329	0	0
9.476	0.0123458	0	0
9.509	0.0175757	0	0
9.542	0.0137124	0	0
9.576	0.0154565	0	0
9.609	0.0153442	0	0
9.642	0.0148454	0	0
9.676	0.0166114	0	0
9.709	0.0165255	0	0
9.743	0.0154170	0	0
9.776	0.0163832	0	0
9.809	0.0118924	0	0
9.843	0.0161518	0	0
9.876	0.0164576	0	0
9.909	0.0180442	0	0
9.943	0.0177944	0	0
9.976	0.0169270	0	0
10.010	0.0122382	0	0
10.043	0.0192818	0	0
10.076	0.0306685	0	0
10.110	0.0297866	0	0
10.143	0.0246173	0	0
10.176	0.0200069	0	0
10.210	0.0185557	0	0
10.243	0.0198076	0	0
10.276	0.0209800	0	0
10.310	0.0180329	0	0
10.343	0.0213930	0	0
10.377	0.0222784	0	0
10.410	0.0228599	0	0
10.443	0.0220073	0	0
10.477	0.0216765	0	0
10.510	0.0209023	0	0
10.543	0.0226138	0	0
10.577	0.0197510	0	0
10.610	0.0185008	0	0
10.643	0.0192712	0	0
10.677	0.0172662	0	0
10.710	0.0183295	0	0
10.744	0.0204346	0	0
10.777	0.0118152	0	0
10.810	0.0255980	0	0
10.844	0.0293807	0	0
10.877	0.0269193	0	0
10.910	0.0247820	0	0
10.944	0.0183517	0	0
10.977	0.0176969	0	0
11.011	0.0170825	0	0
11.044	0.0139915	0	0
11.077	0.0156462	0	0
11.111	0.0157564	0	0
11.144	0.0163335	0	0
11.177	0.0116766	0	0
11.211	0.0167639	0	0
11.244	0.0101974	0	0
11.277	0.0117807	0	0
11.311	0.0119777	0	0
11.344	0.0138747	0	0
11.378	0.0126792	0	0
11.411	0.0119862	0	0
11.444	0.0134426	0	0
11.478	0.0144424	0	0
11.511	0.0114921	0	0
11.544	0.0145826	0	0
11.578	0.0149818	0	0
11.611	0.0135632	0	0
11.644	0.0145896	0	0
11.678	0.0167274	0	0
11.711	0.0173133	0	0
11.745	0.0148728	0	0
11.778	0.0135482	0	0
11.811	0.0121044	0	0
11.845	0.0151171	0	0
11.878	0.0138012	0	0
11.911	0.0136156	0	0
11.945	0.0124606	0	0
11.978	0.0146661	0	0
12.012	0.0143150	0	0
12.045	0.0343877	1	0
12.078	0.0276097	0	0
12.112	0.0239171	0	0
12.145	0.0190054	0	0
12.178	0.0173191	0	0
12.212	0.0174829	0	0
12.245	0.0173661	0	0
12.278	0.0158722	0	0
12.312	0.0171776	0	0
12.345	0.0142723	0	0
12.379	0.0145407	0	0
12.412	0.0124443	0	0
12.445	0.0122714	0	0
12.479	0.0138085	0	0
12.512	0.0156917	0	0
12.545	0.0121212	0	0
12.579	0.0117547	0	0
12.612	0.0157564	0	0
12.645	0.0164329	0	0
12.679	0.0137494	0	0
12.712	0.0150428	0	0
12.746	0.0154499	0	0
12.779	0.0134577	0	0
12.812	0.0158978	0	0
12.846	0.0148591	0	0
12.879	0.0166787	0	0
12.912	0.0147422	0	0
12.946	0.0143363	0	0
12.979	0.0174187	0	0
13.013	0.0155811	0	0
13.046	0.0153773	0	0
13.079	0.0134047	0	0
13.113	0.0119946	0	0
13.146	0.0134047	0	0
13.179	0.0130119	0	0
13.213	0.0146592	0	0
13.246	0.0148180	0	0
13.279	0.0113406	0	0
13.313	0.0151842	0	0
13.346	0.0154368	0	0
13.380	0.0160253	0	0
13.413	0.0143221	0	0
13.446	0.0127592	0	0
13.480	0.0174770	0	0
13.513	0.0156593	0	0
13.546	0.0147215	0	0
13.580	0.0130743	0	0
13.613	0.0131596	0	0
13.646	0.0122049	0	0
13.680	0.0121296	0	0
13.713	0.0133667	0	0
13.747	0.0114032	0	0
13.780	0.0145197	0	0
13.813	0.0125420	0	0
13.847	0.0152311	0	0
13.880	0.0135782	0	0
13.913	0.0105408	0	0
13.947	0.0135407	0	0
13.980	0.0145337	0	0
14.014	0.0118238	0	0
14.047	0.0149001	0	0
14.080	0.0132597	0	0
14.114	0.0159872	0	0
14.147	0.0149886	0	0
14.180	0.0162898	0	0
14.214	0.0146522	0	0
14.247	0.0148659	0	0
14.280	0.0165746	0	0
14.314	0.0150699	0	0
14.347	0.0155680	0	0
14.381	0.0154368	0	0
14.414	0.0164761	0	0
14.447	0.0122962	0	0
14.481	0.0141650	0	0
14.514	0.0164390	0	0
14.547	0.0156462	0	0
14.581	0.0114566	0	0
14.614	0.0143859	0	0
14.647	0.0167396	0	0
14.681	0.0124033	0	0
14.714	0.0146730	0	0
14.748	0.0124361	0	0
14.781	0.0156917	0	0
14.814	0.0145407	0	0
14.848	0.0139624	0	0
14.881	0.0136901	0	0
14.914	0.0147836	0	0
14.948	0.0146035	0	0
14.981	0.0135782	0	0
15.015	0.0144635	0	0
15.048	0.0123869	0	0
15.081	0.0137494	0	0
15.115	0.0149886	0	0
15.148	0.0159617	0	0
15.181	0.0160697	0	0
15.215	0.0143859	0	0
15.248	0.0140351	0	0
15.281	0.0151103	0	0
15.315	0.0133743	0	0
15.348	0.0130743	0	0
15.382	0.0126470	0	0
15.415	0.0147698	0	0
15.448	0.0125258	0	0
15.482	0.0129491	0	0
15.515	0.0132827	0	0
15.548	0.0165562	0	0
15.582	0.0129255	0	0
15.615	0.0151641	0	0
15.648	0.0144776	0	0
15.682	0.0125663	0	0
15.715	0.0125420	0	0
15.749	0.0117634	0	0
15.782	0.0146522	0	0
15.815	0.0133362	0	0
15.849	0.0136006	0	0
15.882	0.0129648	0	0
15.915	0.0139040	0	0
15.949	0.0130665	0	0
15.982	0.0122298	0	0
16.016	0.0137568	0	0
16.049	0.0150293	0	0
16.082	0.0170706	0	0
16.116	0.0133591	0	0
16.149	0.0151775	0	0
16.182	0.0138673	0	0
16.216	0.0149886	0	0
16.249	0.0155941	0	0
16.282	0.0138233	0	0
16.316	0.0179140	0	0
16.349	0.0123951	0	0
16.383	0.0130509	0	0
16.416	0.0118753	0	0
16.449	0.0114478	0	0
16.483	0.0131982	0	0
16.516	0.0139040	0	0
16.549	0.0173074	0	0
16.583	0.0142438	0	0
16.616	0.0156007	0	0
16.649	0.0146175	0	0
16.683	0.0125177	0	0
16.716	0.0136455	0	0
16.750	0.0144987	0	0
16.783	0.0110221	0	0
16.816	0.0139113	0	0
16.850	0.0121128	0	0
16.883	0.0149001	0	0
16.916	0.0132827	0	0
16.950	0.0114655	0	0
16.983	0.0122714	0	0
17.017	0.0137790	0	0
17.050	0.0149138	0	0
