time	rmse	false positive	false negative
9.075	0.010869	0	0
9.092	0.009871	0	0
9.109	0.010738	0	0
9.125	0.011836	0	0
9.142	0.012315	0	0
9.159	0.012087	0	0
9.175	0.012596	0	0
9.192	0.012716	0	0
9.209	0.012335	0	0
9.225	0.012146	0	0
9.242	0.012570	0	0
9.259	0.012555	0	0
9.275	0.012506	0	0
9.292	0.011614	0	0
9.309	0.011557	0	0
9.325	0.011720	0	0
9.342	0.012143	0	0
9.359	0.011563	0	0
9.376	0.012230	0	0
9.392	0.012152	0	0
9.409	0.011926	0	0
9.426	0.011958	0	0
9.442	0.011965	0	0
9.459	0.012326	0	0
9.476	0.012614	0	0
9.492	0.011942	0	0
9.509	0.011535	0	0
9.526	0.011991	0	0
9.542	0.011687	0	0
9.559	0.011966	0	0
9.576	0.012288	0	0
9.592	0.011735	0	0
9.609	0.010375	0	0
9.626	0.009983	0	0
9.642	0.009548	0	0
9.659	0.009516	0	0
9.676	0.009083	0	0
9.693	0.010525	0	0
9.709	0.011120	0	0
9.726	0.010966	0	0
9.743	0.011276	0	0
9.759	0.012543	0	0
9.776	0.012497	0	0
9.793	0.012139	0	0
9.809	0.011987	0	0
9.826	0.012437	0	0
9.843	0.012563	0	0
9.859	0.012179	0	0
9.876	0.012573	0	0
9.893	0.013137	0	0
9.909	0.012737	0	0
9.926	0.012871	0	0
9.943	0.013227	0	0
9.959	0.012782	0	0
9.976	0.012185	0	0
9.993	0.012178	0	0
10.010	0.012017	0	0
10.026	0.011184	0	0
10.043	0.011664	0	0
10.060	0.012573	0	0
10.076	0.012897	0	0
10.093	0.012695	0	0
10.110	0.013293	0	0
10.126	0.013586	0	0
10.143	0.013628	0	0
10.160	0.013278	0	0
10.176	0.012856	0	0
10.193	0.013010	0	0
10.210	0.012610	0	0
10.226	0.012704	0	0
10.243	0.013003	0	0
10.260	0.013336	0	0
10.276	0.013153	0	0
10.293	0.012847	0	0
10.310	0.012529	0	0
10.326	0.012876	0	0
10.343	0.013082	0	0
10.360	0.013752	0	0
10.377	0.014226	0	0
10.393	0.013655	0	0
10.410	0.012508	0	0
10.427	0.011838	0	0
10.443	0.011110	0	0
10.460	0.010588	0	0
10.477	0.011203	0	0
10.493	0.012101	0	0
10.510	0.013015	0	0
10.527	0.013517	0	0
10.543	0.013829	0	0
10.560	0.013469	0	0
10.577	0.012780	0	0
10.593	0.012331	0	0
10.610	0.011788	0	0
10.627	0.011812	0	0
10.643	0.011723	0	0
10.660	0.012530	0	0
10.677	0.012888	0	0
10.694	0.013530	0	0
10.710	0.013909	0	0
10.727	0.014418	0	0
10.744	0.013867	0	0
10.760	0.013222	0	0
10.777	0.012624	0	0
10.794	0.011662	0	0
10.810	0.011562	0	0
10.827	0.011469	0	0
10.844	0.011360	0	0
10.860	0.011415	0	0
10.877	0.011352	0	0
10.894	0.011551	0	0
10.910	0.012099	0	0
10.927	0.011942	0	0
10.944	0.011786	0	0
10.960	0.012636	0	0
10.977	0.011980	0	0
10.994	0.011781	0	0
11.011	0.012819	0	0
11.027	0.012902	0	0
11.044	0.012496	0	0
11.061	0.012874	0	0
11.077	0.012543	0	0
11.094	0.011954	0	0
11.111	0.012324	0	0
11.127	0.011760	0	0
11.144	0.011997	0	0
11.161	0.013202	0	0
11.177	0.012690	0	0
11.194	0.012872	0	0
11.211	0.013354	0	0
11.227	0.013706	0	0
11.244	0.013176	0	0
11.261	0.014109	0	0
11.277	0.013416	0	0
11.294	0.013324	0	0
11.311	0.012498	0	0
11.327	0.011450	0	0
