time	rmse	false positive	false negative
4.971	0.0059749	0	0
5.005	0.0059749	0	0
5.038	0.0059749	0	0
5.071	0.00615955	0	0
5.105	0.00659832	0	0
5.138	0.00645539	0	0
5.171	0.00628994	0	0
5.205	0.00604568	0	0
5.238	0.005816	0	0
5.271	0.00579115	0	0
5.305	0.00570927	0	0
5.338	0.00589459	0	0
5.372	0.00601358	0	0
5.405	0.00618531	0	0
5.438	0.00601831	0	0
5.472	0.00610566	0	0
5.505	0.00593611	0	0
5.538	0.00583269	0	0
5.572	0.00601293	0	0
5.605	0.00628106	0	0
5.638	0.00655554	0	0
5.672	0.00683928	0	0
5.705	0.00706321	0	0
5.739	0.00722207	0	0
5.772	0.00736845	0	0
5.805	0.00740475	0	0
5.839	0.00759479	0	0
5.872	0.00775677	0	0
5.905	0.00770435	0	0
5.939	0.00781616	0	0
5.972	0.00807081	0	0
6.006	0.00815536	0	0
6.039	0.00838176	0	0
6.072	0.00867011	0	0
6.106	0.00848078	0	0
6.139	0.00829732	0	0
6.172	0.00809618	0	0
6.206	0.007705	0	0
6.239	0.00716008	0	0
6.272	0.00696332	0	0
6.306	0.00664332	0	0
6.339	0.00643524	0	0
6.373	0.00635492	0	0
6.406	0.00639103	0	0
6.439	0.00633119	0	0
6.473	0.00634805	0	0
6.506	0.00622801	0	0
6.539	0.00623138	0	0
6.573	0.0062026	0	0
6.606	0.00632092	0	0
6.639	0.00630972	0	0
6.673	0.00652843	0	0
6.706	0.00655559	0	0
6.74	0.00663913	0	0
6.773	0.00659133	0	0
6.806	0.00659802	0	0
6.84	0.00654124	0	0
6.873	0.00654488	0	0
6.906	0.00653174	0	0
6.94	0.00656269	0	0
6.973	0.00664272	0	0
7.007	0.00660731	0	0
7.04	0.00658867	0	0
7.073	0.00665918	0	0
7.107	0.0066092	0	0
7.14	0.00667857	0	0
7.173	0.00671027	0	0
7.207	0.00682712	0	0
7.24	0.00680593	0	0
7.273	0.00707811	0	0
7.307	0.00703815	0	0
7.34	0.0072349	0	0
7.374	0.00754731	0	0
7.407	0.00780857	0	0
7.44	0.00793738	0	0
7.474	0.00823912	0	0
7.507	0.00804613	0	0
7.54	0.0077324	0	0
7.574	0.00759006	0	0
7.607	0.00862303	0	0
7.64	0.0106287	0	0
7.674	0.0131358	0	0
7.707	0.0157319	0	0
7.741	0.0181498	0	0
7.774	0.0195637	0	0
7.807	0.0204473	0	0
7.841	0.0213823	0	0
