time lined up	block	rmse	false positive	false negative
0.193	dont	0.0070984	0	0
0.210	dont	0.0070984	0	0
0.226	dont	0.0070984	0	0
0.243	dont	0.0071938	0	0
0.260	dont	0.0072828	0	0
0.276	dont	0.0073106	0	0
0.293	dont	0.0076887	0	0
0.310	dont	0.0118096	0	0
0.326	dont	0.0153904	0	0
0.343	dont	0.0199756	0	0
0.360	dont	0.0240633	0	1
0.376	dont	0.0277576	0	0
0.393	dont	0.0281653	0	0
0.410	dont	0.0281667	0	0
0.426	dont	0.0271216	0	0
0.443	dont	0.0255026	0	0
0.460	dont	0.0241558	0	0
0.476	dont	0.0229902	0	0
0.493	dont	0.0221879	0	0
0.510	dont	0.0217764	0	0
0.526	dont	0.0221485	0	0
0.543	dont	0.0226028	0	0
0.560	dont	0.0224819	0	0
0.577	dont	0.0230455	0	0
0.593	dont	0.0232077	0	0
0.610	dont	0.0230443	0	0
0.627	dont	0.0225229	0	0
0.643	dont	0.0223552	0	0
0.660	dont	0.0219872	0	0
0.677	dont	0.0218232	0	0
0.693	dont	0.0215978	0	0
0.710	dont	0.0213377	0	0
0.727	dont	0.0206136	0	0
0.743	dont	0.0197555	0	0
0.760	dont	0.0195379	0	0
0.777	dont	0.0194185	0	0
0.793	dont	0.0192860	0	0
0.810	dont	0.0200894	0	0
0.827	dont	0.0204892	0	0
0.843	dont	0.0201100	0	0
0.860	dont	0.0197874	0	0
0.877	dont	0.0193797	0	0
0.894	dont	0.0185785	0	0
0.910	dont	0.0181092	0	0
0.927	dont	0.0180566	0	0
0.944	dont	0.0178078	0	0
0.960	dont	0.0178382	0	0
0.977	dont	0.0179589	0	0
0.994	dont	0.0180678	0	0
1.010	dont	0.0180423	0	0
1.027	dont	0.0183738	0	0
1.044	dont	0.0182530	0	0
1.060	dont	0.0183140	0	0
1.077	dont	0.0182515	0	0
1.094	dont	0.0182430	0	0
1.110	dont	0.0182917	0	0
1.127	dont	0.0187467	0	0
1.144	dont	0.0187985	0	0
1.160	dont	0.0190639	0	0
1.177	dont	0.0189752	0	0
1.194	dont	0.0188059	0	0
1.211	dont	0.0184217	0	0
1.227	dont	0.0180060	0	0
1.244	dont	0.0176941	0	0
1.261	dont	0.0175096	0	0
1.277	dont	0.0165434	0	0
1.294	dont	0.0156157	0	0
1.311	dont	0.0145483	0	0
1.327	dont	0.0128269	0	0
1.344	dont	0.0113405	0	0
1.361	dont	0.0109906	0	0
1.377	dont	0.0100842	0	0
1.394	dont	0.0093415	0	0
1.411	dont	0.0091502	0	0
1.427	dont	0.0090386	0	0
1.444	dont	0.0086814	0	0
1.461	dont	0.0088755	0	0
1.477	dont	0.0089873	0	0
1.494	dont	0.0093263	0	0
1.511	dont	0.0095860	0	0
1.527	dont	0.0097577	0	0
1.544	dont	0.0101773	0	0
1.561	dont	0.0104667	0	0
1.578	dont	0.0106151	0	0
1.594	dont	0.0103421	0	0
1.611	dont	0.0106933	0	0
1.628	dont	0.0103615	0	0
1.644	dont	0.0101857	0	0
1.661	dont	0.0095871	0	0
1.678	dont	0.0100760	0	0
1.694	dont	0.0097283	0	0
