time	block	discomfort	scaled discomfort
0.000	Don't blink	0.1964637	0.2182929
0.265	Don't blink	0.1964637	0.2182929
0.531	Don't blink	0.1964637	0.2182929
0.797	Don't blink	0.1964637	0.2182929
1.062	Don't blink	0.1964637	0.2182929
1.359	Don't blink	0.1964637	0.2182929
1.625	Don't blink	0.1964637	0.2182929
1.890	Don't blink	0.2357564	0.2619515
2.156	Don't blink	0.3438114	0.3820127
2.422	Don't blink	0.4420432	0.4911591
2.687	Don't blink	0.6286837	0.6985374
2.953	Don't blink	0.8055010	0.8950011
3.219	Don't blink	1.1591356	1.2879284
3.484	Don't blink	1.6502947	1.8336608
3.750	Don't blink	2.2593320	2.5103689
4.000	Don't blink	3.0353635	3.3726261
4.265	Don't blink	3.0844794	3.4271993
4.531	Don't blink	4.1453831	4.6059812
4.797	Don't blink	4.9214145	5.4682384
5.062	Don't blink	5.2946955	5.8829950
5.328	Don't blink	5.4715128	6.0794586
5.594	Don't blink	5.5992141	6.2213491
5.859	Don't blink	5.7072692	6.3414102
6.125	Don't blink	5.8153242	6.4614713
6.390	Don't blink	5.8939096	6.5487885
6.656	Don't blink	5.8939096	6.5487885
6.937	Don't blink	5.8939096	6.5487885
7.203	Don't blink	5.8939096	6.5487885
7.469	Don't blink	5.8939096	6.5487885
7.734	Don't blink	5.8939096	6.5487885
8.000	Don't blink	5.8939096	6.5487885
8.265	Don't blink	5.8939096	6.5487885
8.531	Don't blink	5.8939096	6.5487885
8.797	Don't blink	5.6974460	6.3304955
9.062	Don't blink	5.6483301	6.2759223
9.328	Don't blink	5.6483301	6.2759223
9.594	Don't blink	5.8939096	6.5487885
9.859	Don't blink	6.3261297	7.0290330
10.125	Don't blink	6.6601179	7.4001310
10.390	Don't blink	6.7878193	7.5420214
10.656	Don't blink	7.5245580	8.3606200
10.922	Don't blink	7.6424361	8.4915957
11.187	Don't blink	7.6424361	8.4915957
11.453	Don't blink	7.6424361	8.4915957
11.719	Don't blink	7.6424361	8.4915957
11.984	Don't blink	7.6424361	8.4915957
12.250	Don't blink	7.6424361	8.4915957
12.515	Don't blink	7.6424361	8.4915957
12.781	Don't blink	7.6326130	8.4806811
13.047	Don't blink	7.6326130	8.4806811
13.312	Don't blink	7.6326130	8.4806811
13.578	Don't blink	7.6326130	8.4806811
13.844	Don't blink	7.6326130	8.4806811
14.109	Don't blink	7.6326130	8.4806811
14.375	Don't blink	7.6326130	8.4806811
14.640	Don't blink	7.6326130	8.4806811
14.906	Don't blink	7.6326130	8.4806811
15.172	Don't blink	7.8192534	8.6880594
15.437	Don't blink	8.0058939	8.8954377
15.703	Don't blink	8.1728880	9.0809867
15.969	Don't blink	8.3398821	9.2665357
16.234	Don't blink	8.3398821	9.2665357
16.500	Don't blink	8.3398821	9.2665357
16.765	Don't blink	8.3300589	9.2556210
17.031	Don't blink	8.3300589	9.2556210
17.297	Don't blink	8.3202358	9.2447064
17.562	Don't blink	8.3202358	9.2447064
17.828	Don't blink	8.3202358	9.2447064
18.094	Don't blink	8.3202358	9.2447064
18.359	Don't blink	8.2416503	9.1573892
18.625	Don't blink	7.5933202	8.4370225
18.890	Don't blink	6.8860511	7.6511679
19.156	Don't blink	6.2966601	6.9962890
19.422	Don't blink	5.3831041	5.9812268
19.687	Don't blink	4.6758350	5.1953722
