time	block	discomfort	scaled discomfort
0.000	Don't blink	0.000000	0.000000
0.250	Don't blink	0.000000	0.000000
0.515	Don't blink	0.000000	0.000000
0.781	Don't blink	0.658153	0.741150
1.047	Don't blink	0.559921	0.630531
1.312	Don't blink	3.290766	3.705752
1.578	Don't blink	3.192534	3.595133
1.843	Don't blink	3.163065	3.561947
2.109	Don't blink	2.848723	3.207965
2.375	Don't blink	2.426326	2.732301
2.640	Don't blink	2.347741	2.643805
2.906	Don't blink	2.347741	2.643805
3.172	Don't blink	2.347741	2.643805
3.437	Don't blink	2.347741	2.643805
3.703	Don't blink	2.347741	2.643805
3.968	Don't blink	2.347741	2.643805
4.234	Don't blink	2.347741	2.643805
4.500	Don't blink	2.347741	2.643805
4.765	Don't blink	2.347741	2.643805
5.031	Don't blink	2.347741	2.643805
5.297	Don't blink	2.347741	2.643805
5.562	Don't blink	2.347741	2.643805
5.828	Don't blink	2.347741	2.643805
6.093	Don't blink	2.347741	2.643805
6.359	Don't blink	2.347741	2.643805
6.625	Don't blink	2.347741	2.643805
6.890	Don't blink	2.347741	2.643805
7.156	Don't blink	2.347741	2.643805
7.422	Don't blink	2.347741	2.643805
7.687	Don't blink	2.347741	2.643805
7.953	Don't blink	2.347741	2.643805
8.218	Don't blink	2.347741	2.643805
8.484	Don't blink	2.347741	2.643805
8.750	Don't blink	2.357564	2.654867
9.015	Don't blink	2.357564	2.654867
9.281	Don't blink	2.357564	2.654867
9.547	Don't blink	2.357564	2.654867
9.812	Don't blink	2.357564	2.654867
10.078	Don't blink	2.357564	2.654867
10.343	Don't blink	2.357564	2.654867
10.609	Don't blink	2.357564	2.654867
10.875	Don't blink	2.357564	2.654867
11.140	Don't blink	2.357564	2.654867
11.406	Don't blink	2.357564	2.654867
11.672	Don't blink	2.357564	2.654867
11.937	Don't blink	2.357564	2.654867
12.203	Don't blink	2.357564	2.654867
12.468	Don't blink	2.357564	2.654867
12.734	Don't blink	2.357564	2.654867
13.000	Don't blink	2.357564	2.654867
13.265	Don't blink	2.357564	2.654867
13.531	Don't blink	2.357564	2.654867
13.797	Don't blink	2.357564	2.654867
14.062	Don't blink	2.357564	2.654867
14.328	Don't blink	2.357564	2.654867
14.593	Don't blink	2.357564	2.654867
14.859	Don't blink	2.357564	2.654867
15.125	Don't blink	2.357564	2.654867
15.390	Don't blink	2.357564	2.654867
15.656	Don't blink	2.357564	2.654867
15.922	Don't blink	2.357564	2.654867
16.187	Don't blink	2.357564	2.654867
16.453	Don't blink	2.357564	2.654867
16.718	Don't blink	2.347741	2.643805
16.984	Don't blink	2.347741	2.643805
17.250	Don't blink	2.259332	2.544248
17.515	Don't blink	1.876228	2.112832
17.781	Don't blink	1.660118	1.869469
18.047	Don't blink	1.630648	1.836283
18.312	Don't blink	1.768173	1.991150
