time	rmse	false positive	false negative
4.988	0.014888	0	0
5.005	0.014888	0	0
5.021	0.014888	0	0
5.038	0.014854	0	0
5.055	0.015248	0	0
5.071	0.015284	0	0
5.088	0.014632	0	0
5.105	0.015516	0	0
5.121	0.016304	0	0
5.138	0.016530	0	0
5.155	0.019017	0	0
5.171	0.024557	0	0
5.188	0.029534	0	0
5.205	0.034269	0	0
5.221	0.038238	0	0
5.238	0.038728	0	0
5.255	0.034405	0	0
5.271	0.029850	0	0
5.288	0.025561	0	1
5.305	0.020609	0	1
5.321	0.017653	0	0
5.338	0.016028	0	0
5.355	0.015233	0	0
5.372	0.013707	0	0
5.388	0.015243	0	0
5.405	0.015393	0	0
5.422	0.016035	0	0
5.438	0.016073	0	0
5.455	0.016268	0	0
5.472	0.015176	0	0
5.488	0.014963	0	0
5.505	0.014950	0	0
5.522	0.013436	0	0
5.538	0.013883	0	0
5.555	0.014545	0	0
5.572	0.014580	0	0
5.588	0.014775	0	0
5.605	0.015287	0	0
5.622	0.014926	0	0
5.638	0.014277	0	0
5.655	0.014758	0	0
5.672	0.014220	0	0
5.689	0.014761	0	0
5.705	0.014550	0	0
5.722	0.015080	0	0
5.739	0.014951	0	0
5.755	0.015169	0	0
5.772	0.014836	0	0
5.789	0.015681	0	0
5.805	0.014834	0	0
5.822	0.014933	0	0
5.839	0.015026	0	0
5.855	0.014840	0	0
5.872	0.013782	0	0
5.889	0.014852	0	0
5.905	0.015041	0	0
5.922	0.015137	0	0
5.939	0.015759	0	0
5.955	0.016252	0	0
5.972	0.015540	0	0
5.989	0.014814	0	0
6.006	0.014414	0	0
6.022	0.013985	0	0
6.039	0.014662	0	0
6.056	0.014642	0	0
6.072	0.015074	0	0
6.089	0.015753	0	0
6.106	0.016017	0	0
6.122	0.015824	0	0
6.139	0.015963	0	0
6.156	0.016473	0	0
6.172	0.015667	0	0
6.189	0.015990	0	0
6.206	0.015691	0	0
6.222	0.016284	0	0
6.239	0.016021	0	0
6.256	0.017134	0	0
6.272	0.017461	0	0
6.289	0.017665	0	0
6.306	0.018250	0	0
6.322	0.017932	0	0
6.339	0.018322	0	0
6.356	0.017516	0	0
6.373	0.017934	0	0
6.389	0.016311	0	0
6.406	0.016437	0	0
