time	rmse	false positive	false negative
4.971	0.0096408	0	0
5.005	0.0096408	0	0
5.038	0.0096408	0	0
5.071	0.0093355	0	0
5.105	0.0097723	0	0
5.138	0.0100047	0	0
5.171	0.0096753	0	0
5.205	0.0098063	0	0
5.238	0.0095706	0	0
5.271	0.0094737	0	0
5.305	0.0096159	0	0
5.338	0.0099728	0	0
5.372	0.0098277	0	0
5.405	0.0102081	0	0
5.438	0.0102505	0	0
5.472	0.0099738	0	0
5.505	0.0101943	0	0
5.538	0.0101308	0	0
5.572	0.0099917	0	0
5.605	0.0102259	0	0
5.638	0.0102685	0	0
5.672	0.0100842	0	0
5.705	0.0099584	0	0
5.739	0.0102082	0	0
5.772	0.0100697	0	0
5.805	0.0103024	0	0
5.839	0.0103149	0	0
5.872	0.0104856	0	0
5.905	0.0100952	0	0
5.939	0.0099508	0	0
5.972	0.0099924	0	0
6.006	0.0098119	0	0
6.039	0.0098573	0	0
6.072	0.0102645	0	0
6.106	0.0101851	0	0
6.139	0.0100449	0	0
6.172	0.0100946	0	0
6.206	0.0100950	0	0
6.239	0.0097882	0	0
6.272	0.0095574	0	0
6.306	0.0094385	0	0
6.339	0.0092181	0	0
6.373	0.0090908	0	0
6.406	0.0092932	0	0
6.439	0.0096872	0	0
6.473	0.0095246	0	0
6.506	0.0099620	0	0
6.539	0.0102066	0	0
6.573	0.0099511	0	0
6.606	0.0099029	0	0
6.639	0.0099983	0	0
6.673	0.0097778	0	0
6.706	0.0095306	0	0
6.740	0.0093491	0	0
6.773	0.0094264	0	0
6.806	0.0093346	0	0
6.840	0.0090641	0	0
6.873	0.0088831	0	0
6.906	0.0089036	0	0
6.940	0.0082178	0	0
6.973	0.0082532	0	0
7.007	0.0083838	0	0
7.040	0.0089070	0	0
7.073	0.0092376	0	0
7.107	0.0099090	0	0
7.140	0.0101922	0	0
7.173	0.0104901	0	0
7.207	0.0101574	0	0
7.240	0.0100183	0	0
7.273	0.0098523	0	0
7.307	0.0094980	0	0
7.340	0.0096325	0	0
7.374	0.0100463	0	0
7.407	0.0101440	0	0
7.440	0.0102788	0	0
7.474	0.0104176	0	0
7.507	0.0102958	0	0
7.540	0.0111387	0	0
7.574	0.0134816	0	1
7.607	0.0158424	0	1
7.640	0.0182373	0	0
7.674	0.0202986	0	0
7.707	0.0208265	0	0
7.741	0.0195450	0	0
7.774	0.0178981	0	0
7.807	0.0160490	0	0
7.841	0.0142037	0	0
7.874	0.0133561	0	0
7.907	0.0129000	0	0
7.941	0.0123645	0	0
7.974	0.0119713	0	0
8.008	0.0121407	0	0
8.041	0.0119318	0	0
8.074	0.0115815	0	0
8.108	0.0116683	0	0
8.141	0.0117866	0	0
