time	block	discomfort	scaled discomfort
0.000	Don't blink	0.2161100	0.4127580
0.266	Don't blink	0.2161100	0.4127580
0.532	Don't blink	0.2161100	0.4127580
0.797	Don't blink	0.2161100	0.4127580
1.063	Don't blink	0.2161100	0.4127580
1.328	Don't blink	0.2455796	0.4690432
1.594	Don't blink	0.3339882	0.6378987
1.860	Don't blink	0.3339882	0.6378987
2.125	Don't blink	0.3634578	0.6941839
2.391	Don't blink	0.4027505	0.7692308
2.657	Don't blink	0.5304519	1.0131332
2.922	Don't blink	0.6483301	1.2382739
3.188	Don't blink	0.7563851	1.4446529
3.453	Don't blink	1.1001965	2.1013133
3.719	Don't blink	1.4243615	2.7204503
3.985	Don't blink	1.5815324	3.0206379
4.250	Don't blink	1.7583497	3.3583490
4.516	Don't blink	1.8958743	3.6210131
4.782	Don't blink	2.1021611	4.0150094
5.047	Don't blink	2.3673870	4.5215760
5.313	Don't blink	2.4754420	4.7279550
5.563	Don't blink	2.5343811	4.8405253
5.828	Don't blink	2.5147348	4.8030019
6.094	Don't blink	2.5343811	4.8405253
6.360	Don't blink	2.5540275	4.8780488
6.625	Don't blink	2.5540275	4.8780488
6.891	Don't blink	2.5540275	4.8780488
7.157	Don't blink	2.5540275	4.8780488
7.422	Don't blink	2.5540275	4.8780488
7.688	Don't blink	2.5540275	4.8780488
7.953	Don't blink	2.5540275	4.8780488
8.235	Don't blink	2.5540275	4.8780488
8.500	Don't blink	2.5540275	4.8780488
8.766	Don't blink	2.5540275	4.8780488
9.032	Don't blink	2.5834971	4.9343340
9.297	Don't blink	2.6915521	5.1407129
9.563	Don't blink	2.8683694	5.4784240
9.828	Don't blink	2.9567780	5.6472795
10.094	Don't blink	2.9960707	5.7223264
10.360	Don't blink	2.9960707	5.7223264
10.625	Don't blink	2.9666012	5.6660413
10.891	Don't blink	2.9666012	5.6660413
11.157	Don't blink	2.9666012	5.6660413
11.422	Don't blink	2.9666012	5.6660413
11.688	Don't blink	2.9862475	5.7035647
11.953	Don't blink	2.9960707	5.7223264
12.219	Don't blink	3.0353635	5.7973734
12.485	Don't blink	3.0353635	5.7973734
12.750	Don't blink	3.0353635	5.7973734
13.016	Don't blink	3.0353635	5.7973734
13.282	Don't blink	3.0353635	5.7973734
13.547	Don't blink	3.0353635	5.7973734
13.813	Don't blink	3.0353635	5.7973734
14.078	Don't blink	3.0451866	5.8161351
14.344	Don't blink	3.0451866	5.8161351
14.610	Don't blink	3.0451866	5.8161351
14.875	Don't blink	3.0451866	5.8161351
15.141	Don't blink	3.0451866	5.8161351
15.407	Don't blink	3.0451866	5.8161351
15.672	Don't blink	3.0451866	5.8161351
15.938	Don't blink	3.0451866	5.8161351
16.203	Don't blink	3.0451866	5.8161351
16.469	Don't blink	3.0451866	5.8161351
16.735	Don't blink	3.0451866	5.8161351
17.000	Don't blink	3.0451866	5.8161351
17.266	Don't blink	3.0451866	5.8161351
17.532	Don't blink	3.0451866	5.8161351
17.797	Don't blink	3.0451866	5.8161351
18.063	Don't blink	3.0451866	5.8161351
18.328	Don't blink	3.0451866	5.8161351
18.594	Don't blink	3.0451866	5.8161351
18.860	Don't blink	3.0451866	5.8161351
19.125	Don't blink	3.0451866	5.8161351
19.391	Don't blink	3.0451866	5.8161351
19.657	Don't blink	3.0451866	5.8161351
19.922	Don't blink	3.0451866	5.8161351
20.188	Don't blink	3.0451866	5.8161351
20.453	Don't blink	3.0451866	5.8161351
20.719	Don't blink	3.0451866	5.8161351
20.985	Don't blink	3.0451866	5.8161351
21.250	Don't blink	3.0451866	5.8161351
21.516	Don't blink	3.0451866	5.8161351
21.782	Don't blink	3.0451866	5.8161351
22.047	Don't blink	3.0451866	5.8161351
22.313	Don't blink	3.0451866	5.8161351
22.578	Don't blink	3.0451866	5.8161351
22.844	Don't blink	3.0451866	5.8161351
23.110	Don't blink	3.0451866	5.8161351
23.375	Don't blink	3.0451866	5.8161351
23.641	Don't blink	3.0451866	5.8161351
23.907	Don't blink	3.0451866	5.8161351
24.172	Don't blink	3.0451866	5.8161351
24.438	Don't blink	3.0451866	5.8161351
24.703	Don't blink	3.0451866	5.8161351
