time lined up	block	rmse	false positive	false negative
6.193	dont	0.015857	0	0
6.210	dont	0.015857	0	0
6.226	dont	0.015857	0	0
6.243	dont	0.015605	0	0
6.260	dont	0.015264	0	0
6.276	dont	0.015392	0	0
6.293	dont	0.015102	0	0
6.310	dont	0.014997	0	0
6.326	dont	0.015046	0	0
6.343	dont	0.015435	0	0
6.360	dont	0.014948	0	0
6.376	dont	0.015414	0	0
6.393	dont	0.015218	0	0
6.410	dont	0.014965	0	0
6.426	dont	0.014696	0	0
6.443	dont	0.014990	0	0
6.460	dont	0.015128	0	0
6.476	dont	0.015052	0	0
6.493	dont	0.015293	0	0
6.510	dont	0.015209	0	0
6.526	dont	0.015563	0	0
6.543	dont	0.015393	0	0
6.560	dont	0.015896	0	0
6.577	dont	0.015757	0	0
6.593	dont	0.016103	0	0
6.610	dont	0.015829	0	0
6.627	dont	0.015780	0	0
6.643	dont	0.015496	0	0
6.660	dont	0.015584	0	0
6.677	dont	0.015741	0	0
6.693	dont	0.015532	0	0
6.710	dont	0.015878	0	0
6.727	dont	0.016098	0	0
6.743	dont	0.016363	0	0
6.760	dont	0.016141	0	0
6.777	dont	0.016323	0	0
6.793	dont	0.015938	0	0
6.810	dont	0.015890	0	0
6.827	dont	0.015829	0	0
6.843	dont	0.015855	0	0
6.860	dont	0.015875	0	0
6.877	dont	0.015880	0	0
6.894	dont	0.015826	0	0
6.910	dont	0.015569	0	0
6.927	dont	0.015655	0	0
6.944	dont	0.015827	0	0
6.960	dont	0.015936	0	0
6.977	dont	0.015915	0	0
6.994	dont	0.016186	0	0
7.010	dont	0.015971	0	0
7.027	dont	0.016174	0	0
7.044	dont	0.016453	0	0
7.060	dont	0.016763	0	0
7.077	dont	0.016942	0	0
7.094	dont	0.016926	0	0
7.110	dont	0.016410	0	0
7.127	dont	0.016149	0	0
7.144	dont	0.015510	0	0
7.160	dont	0.015345	0	0
7.177	dont	0.015356	0	0
7.194	dont	0.015402	0	0
7.211	dont	0.015605	0	0
7.227	dont	0.015917	0	0
7.244	dont	0.015559	0	0
7.261	dont	0.015520	0	0
7.277	dont	0.015490	0	0
7.294	dont	0.014957	0	0
7.311	dont	0.014831	0	0
7.327	dont	0.015094	0	0
7.344	dont	0.014757	0	0
7.361	dont	0.014661	0	0
7.377	dont	0.015128	0	0
7.394	dont	0.015280	0	0
7.411	dont	0.015297	0	0
7.427	dont	0.015782	0	0
7.444	dont	0.015849	0	0
7.461	dont	0.015865	0	0
7.477	dont	0.016105	0	0
7.494	dont	0.015956	0	0
7.511	dont	0.015762	0	0
7.527	dont	0.016114	0	0
7.544	dont	0.015917	0	0
7.561	dont	0.015706	0	0
7.578	dont	0.015871	0	0
7.594	dont	0.015964	0	0
7.611	dont	0.016009	0	0
7.628	dont	0.015998	0	0
7.644	dont	0.015980	0	0
7.661	dont	0.015877	0	0
7.678	dont	0.015686	0	0
7.694	dont	0.015579	0	0
7.711	dont	0.015903	0	0
7.728	dont	0.015924	0	0
7.744	dont	0.016094	0	0
7.761	dont	0.016294	0	0
7.778	dont	0.016056	0	0
7.794	dont	0.015627	0	0
7.811	dont	0.015236	0	0
7.828	dont	0.015059	0	0
7.844	dont	0.014972	0	0
7.861	dont	0.015040	0	0
7.878	dont	0.015316	0	0
7.895	dont	0.015476	0	0
7.911	dont	0.015763	0	0
7.928	dont	0.015673	0	0
7.945	dont	0.015443	0	0
7.961	dont	0.015191	0	0
7.978	dont	0.015408	0	0
7.995	dont	0.014975	0	0
8.011	dont	0.014942	0	0
8.028	dont	0.015367	0	0
8.045	dont	0.015282	0	0
8.061	dont	0.015324	0	0
8.078	dont	0.015367	0	0
8.095	dont	0.015551	0	0
8.111	dont	0.015112	0	0
8.128	dont	0.015137	0	0
8.145	dont	0.014636	0	0
8.161	dont	0.014656	0	0
8.178	dont	0.014012	0	0
8.195	dont	0.014117	0	0
8.212	dont	0.014287	0	0
8.228	dont	0.013904	0	0
8.245	dont	0.012979	0	0
8.262	dont	0.012296	0	0
8.278	dont	0.011529	0	0
8.295	dont	0.009998	0	0
8.312	dont	0.009303	0	0
8.328	dont	0.008866	0	0
8.345	dont	0.008861	0	0
8.362	dont	0.008373	0	0
8.378	dont	0.008380	0	0
8.395	dont	0.008509	0	0
8.412	dont	0.008542	0	0
