time	rmse	false positive	false negative
4.988	0.0091487	0	0
5.005	0.0091487	0	0
5.021	0.0091487	0	0
5.038	0.0091743	0	0
5.055	0.0100190	0	0
5.071	0.0102525	0	0
5.088	0.0100568	0	0
5.105	0.0106201	0	0
5.121	0.0107758	0	0
5.138	0.0104337	0	0
5.155	0.0101487	0	0
5.171	0.0094657	0	0
5.188	0.0085677	0	0
5.205	0.0092680	0	0
5.221	0.0091824	0	0
5.238	0.0099086	0	0
5.255	0.0109979	0	0
5.271	0.0116933	0	0
5.288	0.0112800	0	0
5.305	0.0118005	0	0
5.321	0.0115766	0	0
5.338	0.0114301	0	0
5.355	0.0110693	0	0
5.372	0.0115836	0	0
5.388	0.0118987	0	0
5.405	0.0119349	0	0
5.422	0.0119264	0	0
5.438	0.0121081	0	0
5.455	0.0114378	0	0
5.472	0.0106878	0	0
5.488	0.0107469	0	0
5.505	0.0109331	0	0
5.522	0.0108109	0	0
5.538	0.0112751	0	0
5.555	0.0113530	0	0
5.572	0.0113217	0	0
5.588	0.0110667	0	0
5.605	0.0117142	0	0
5.622	0.0113649	0	0
5.638	0.0116139	0	0
5.655	0.0118643	0	0
5.672	0.0118774	0	0
5.689	0.0114273	0	0
5.705	0.0112229	0	0
5.722	0.0114656	0	0
5.739	0.0114081	0	0
5.755	0.0113375	0	0
5.772	0.0113901	0	0
5.789	0.0111776	0	0
5.805	0.0109839	0	0
5.822	0.0103460	0	0
5.839	0.0103460	0	0
5.855	0.0102268	0	0
5.872	0.0103118	0	0
5.889	0.0097847	0	0
5.905	0.0098472	0	0
5.922	0.0096137	0	0
5.939	0.0096263	0	0
5.955	0.0100987	0	0
5.972	0.0105692	0	0
5.989	0.0108010	0	0
6.006	0.0111395	0	0
6.022	0.0113248	0	0
6.039	0.0114757	0	0
6.056	0.0111342	0	0
6.072	0.0113624	0	0
6.089	0.0115386	0	0
6.106	0.0118266	0	0
6.122	0.0114506	0	0
6.139	0.0115550	0	0
6.156	0.0117807	0	0
6.172	0.0127892	0	0
6.189	0.0149358	0	0
6.206	0.0191551	0	0
6.222	0.0228956	0	0
6.239	0.0260996	0	0
6.256	0.0287887	0	0
6.272	0.0298012	0	0
6.289	0.0291765	0	0
6.306	0.0292349	0	0
6.322	0.0294420	0	0
6.339	0.0289154	0	0
6.356	0.0284759	0	0
6.373	0.0274412	0	0
6.389	0.0256359	0	0
6.406	0.0235606	0	0
6.423	0.0219869	0	0
6.439	0.0200582	0	0
6.456	0.0188859	0	0
6.473	0.0174981	0	0
6.489	0.0167419	0	0
6.506	0.0155635	0	0
6.523	0.0144180	0	0
6.539	0.0135589	0	0
6.556	0.0136113	0	0
6.573	0.0139132	0	0
6.589	0.0137694	0	0
6.606	0.0145422	0	0
6.623	0.0146962	0	0
6.639	0.0143799	0	0
6.656	0.0135260	0	0
6.673	0.0137745	0	0
6.690	0.0135298	0	0
6.706	0.0138236	0	0
6.723	0.0146920	0	0
6.740	0.0157848	0	0
6.756	0.0166457	0	0
6.773	0.0174689	0	0
6.790	0.0184068	0	0
