time	rmse	false positive	false negative
1.968	0.00816011	0	0
2.002	0.00816011	0	0
2.035	0.00816011	0	0
2.068	0.00828116	0	0
2.102	0.00813536	0	0
2.135	0.00804161	0	0
2.168	0.00820078	0	0
2.202	0.00788138	0	0
2.235	0.00795656	0	0
2.268	0.00833618	0	0
2.302	0.00856057	0	0
2.335	0.0084952	0	0
2.369	0.0086142	0	0
2.402	0.0083137	0	0
2.435	0.00787925	0	0
2.469	0.00745764	0	0
2.502	0.00733771	0	0
2.535	0.00722977	0	0
2.569	0.00730736	0	0
2.602	0.00730376	0	0
2.635	0.00758511	0	0
2.669	0.0078647	0	0
2.702	0.00834578	0	0
2.736	0.00858625	0	0
2.769	0.00902154	0	0
2.802	0.00902475	0	0
2.836	0.00923972	0	0
2.869	0.00942459	0	0
2.902	0.00962874	0	0
2.936	0.00975392	0	0
2.969	0.00987907	0	0
3.003	0.00985783	0	0
3.036	0.00993053	0	0
3.069	0.0100239	0	0
3.103	0.0098105	0	0
3.136	0.0103255	0	0
3.169	0.0101109	0	0
3.203	0.00992886	0	0
3.236	0.00986406	0	0
3.269	0.0101137	0	0
3.303	0.00978417	0	0
3.336	0.00997322	0	0
3.37	0.00981341	0	0
3.403	0.00991909	0	0
3.436	0.00983939	0	0
3.47	0.00979575	0	0
3.503	0.00977672	0	0
3.536	0.0101101	0	0
3.57	0.00982198	0	0
3.603	0.0099322	0	0
3.636	0.0101302	0	0
3.67	0.0102914	0	0
3.703	0.0102058	0	0
3.737	0.0104493	0	0
3.77	0.0105696	0	0
3.803	0.0106934	0	0
3.837	0.0108336	0	0
3.87	0.0109289	0	0
3.903	0.0109834	0	0
3.937	0.0108055	0	0
3.97	0.0106195	0	0
4.004	0.0104257	0	0
4.037	0.0104184	0	0
4.07	0.0103375	0	0
4.104	0.0101696	0	0
4.137	0.00969955	0	0
4.17	0.0107389	0	0
4.204	0.0179609	0	0
4.237	0.0301889	0	0
4.27	0.0454359	0	0
4.304	0.0616182	0	0
4.337	0.0757966	0	0
4.371	0.0833396	0	0
4.404	0.0859964	0	0
4.437	0.0859847	0	0
4.471	0.084599	0	0
4.504	0.0793851	0	0
4.537	0.0689299	0	0
4.571	0.0566775	0	0
4.604	0.0432583	0	0
4.637	0.0305668	0	0
4.671	0.0228495	0	0
4.704	0.0200808	0	0
4.738	0.0189986	0	0
4.771	0.0191031	0	0
4.804	0.0194851	0	0
4.838	0.0195874	0	0
4.871	0.0197918	0	0
4.904	0.0204862	0	0
4.938	0.0209231	0	0
4.971	0.020844	0	0
5.005	0.020476	0	0
5.038	0.0199215	0	0
5.071	0.0177822	0	0
5.105	0.0163344	0	0
5.138	0.0148125	0	0
5.171	0.0127916	0	0
5.205	0.0122268	0	0
5.238	0.0223568	0	0
5.271	0.0371214	0	0
5.305	0.0521111	0	0
5.338	0.0681015	0	0
5.372	0.0817915	0	0
5.405	0.0804609	0	0
5.438	0.0703907	0	0
5.472	0.0579579	0	0
5.505	0.0428124	0	0
5.538	0.0280736	0	0
5.572	0.0185977	0	0
5.605	0.0126862	0	0
5.638	0.00889324	0	0
5.672	0.00754148	0	0
5.705	0.00708043	0	0
5.739	0.00669418	0	0
5.772	0.00690091	0	0
5.805	0.00704132	0	0
5.839	0.00699051	0	0
5.872	0.0071869	0	0
5.905	0.00788876	0	0
5.939	0.00759116	0	0
5.972	0.00750342	0	0
6.006	0.00747098	0	0
6.039	0.00710296	0	0
6.072	0.00663599	0	0
6.106	0.00649593	0	0
6.139	0.00663669	0	0
6.172	0.00669211	0	0
6.206	0.00754889	0	0
6.239	0.00752728	0	0
6.272	0.0075762	0	0
6.306	0.0077228	0	0
6.339	0.00783119	0	0
6.373	0.00764443	0	0
6.406	0.00783829	0	0
6.439	0.00810934	0	0
6.473	0.00805625	0	0
6.506	0.00796531	0	0
6.539	0.00769327	0	0
6.573	0.00747944	0	0
6.606	0.00739379	0	0
6.639	0.00734598	0	0
6.673	0.00714935	0	0
6.706	0.00713885	0	0
6.74	0.00722832	0	0
6.773	0.00714125	0	0
6.806	0.00704639	0	0
6.84	0.00702225	0	0
6.873	0.00687829	0	0
6.906	0.00679685	0	0
6.94	0.0067587	0	0
6.973	0.00714186	0	0
7.007	0.00728427	0	0
7.04	0.00751031	0	0
7.073	0.00763257	0	0
7.107	0.00765087	0	0
7.14	0.00723656	0	0
7.173	0.00714785	0	0
7.207	0.00718082	0	0
7.24	0.00725047	0	0
