time	rmse	false positive	false negative
4.971	0.011321	0	0
5.005	0.011321	0	0
5.038	0.011321	0	0
5.071	0.011883	0	0
5.105	0.011883	0	0
5.138	0.011679	0	0
5.171	0.011694	0	0
5.205	0.011397	0	0
5.238	0.010901	0	0
5.271	0.010916	0	0
5.305	0.011014	0	0
5.338	0.011089	0	0
5.372	0.011081	0	0
5.405	0.011159	0	0
5.438	0.011058	0	0
5.472	0.011188	0	0
5.505	0.011444	0	0
5.538	0.011569	0	0
5.572	0.011630	0	0
5.605	0.011768	0	0
5.638	0.011816	0	0
5.672	0.011809	0	0
5.705	0.011817	0	0
5.739	0.011782	0	0
5.772	0.011754	0	0
5.805	0.011702	0	0
5.839	0.011557	0	0
5.872	0.011762	0	0
5.905	0.012012	0	0
5.939	0.012076	0	0
5.972	0.012347	0	0
6.006	0.012569	0	0
6.039	0.012648	0	0
6.072	0.012750	0	0
6.106	0.012892	0	0
6.139	0.012818	0	0
6.172	0.013019	0	0
6.206	0.012899	0	0
6.239	0.012762	0	0
6.272	0.012681	0	0
6.306	0.012773	0	0
6.339	0.012575	0	0
6.373	0.012567	0	0
6.406	0.012535	0	0
6.439	0.012356	0	0
6.473	0.012353	0	0
6.506	0.012348	0	0
6.539	0.012356	0	0
6.573	0.012154	0	0
6.606	0.013336	0	0
6.639	0.014310	0	0
6.673	0.014103	0	0
6.706	0.013597	0	0
6.740	0.013123	0	0
6.773	0.011415	0	0
6.806	0.009723	0	0
6.840	0.009398	0	0
6.873	0.009412	0	0
6.906	0.009894	0	0
6.940	0.010273	0	0
6.973	0.010568	0	0
7.007	0.010851	0	0
7.040	0.010898	0	0
7.073	0.010942	0	0
7.107	0.010992	0	0
7.140	0.010865	0	0
7.173	0.010854	0	0
7.207	0.010933	0	0
7.240	0.010816	0	0
7.273	0.010720	0	0
7.307	0.011004	0	0
7.340	0.010971	0	0
7.374	0.010958	0	0
7.407	0.010877	0	0
7.440	0.010907	0	0
7.474	0.010908	0	0
7.507	0.010966	0	0
7.540	0.011096	0	0
7.574	0.011118	0	0
7.607	0.011195	0	0
7.640	0.010996	0	0
7.674	0.010875	0	0
7.707	0.010794	0	0
7.741	0.010724	0	0
7.774	0.010537	0	0
7.807	0.010625	0	0
7.841	0.010617	0	0
7.874	0.010559	0	0
7.907	0.010288	0	0
7.941	0.009802	0	0
7.974	0.009223	0	0
8.008	0.008602	0	0
8.041	0.007960	0	0
8.074	0.007690	0	0
8.108	0.007663	0	0
8.141	0.007462	0	0
8.174	0.008067	0	0
8.208	0.008403	0	0
8.241	0.008512	0	0
8.274	0.008785	0	0
8.308	0.009229	0	0
8.341	0.009018	0	0
8.375	0.009442	0	0
8.408	0.010129	0	0
8.441	0.010503	0	0
8.475	0.011029	0	0
8.508	0.011269	0	0
8.541	0.010886	0	0
8.575	0.010658	0	0
8.608	0.010652	0	0
8.641	0.010033	0	0
8.675	0.009946	0	0
8.708	0.010142	0	0
8.742	0.009961	0	0
8.775	0.009741	0	0
8.808	0.009888	0	0
8.842	0.010022	0	0
8.875	0.009876	0	0
8.908	0.009857	0	0
8.942	0.009945	0	0
8.975	0.009867	0	0
9.009	0.009683	0	0
9.042	0.009611	0	0
9.075	0.009538	0	0
9.109	0.009416	0	0
9.142	0.009791	0	0
9.175	0.009800	0	0
9.209	0.009974	0	0
9.242	0.009966	0	0
9.275	0.009966	0	0
9.309	0.009670	0	0
9.342	0.009535	0	0
9.376	0.009758	0	0
9.409	0.010027	0	0
9.442	0.010290	0	0
9.476	0.010432	0	0
9.509	0.010516	0	0
9.542	0.009916	0	0
9.576	0.009512	0	0
9.609	0.008480	0	0
9.642	0.007935	0	0
9.676	0.007481	0	0
9.709	0.007093	0	0
9.743	0.006962	0	0
9.776	0.007287	0	0
9.809	0.007248	0	0
9.843	0.007222	0	0
9.876	0.007084	0	0
9.909	0.006981	0	0
9.943	0.005972	0	0
9.976	0.005861	0	0
10.010	0.005800	0	0
10.043	0.006144	0	0
10.076	0.006470	0	0
10.110	0.007402	0	0
10.143	0.007526	0	0
10.176	0.007748	0	0
10.210	0.007920	0	0
10.243	0.007697	0	0
10.276	0.007718	0	0
10.310	0.007470	0	0
10.343	0.007232	0	0
10.377	0.007038	0	0
10.410	0.006963	0	0
10.443	0.006904	0	0
10.477	0.007199	0	0
10.510	0.007242	0	0
10.543	0.007099	0	0
10.577	0.007184	0	0
10.610	0.007262	0	0
10.643	0.007203	0	0
10.677	0.007225	0	0
10.710	0.007434	0	0
10.744	0.007302	0	0
10.777	0.007197	0	0
10.810	0.007142	0	0
10.844	0.007148	0	0
10.877	0.007088	0	0
10.910	0.007275	0	0
10.944	0.007294	0	0
10.977	0.007156	0	0
11.011	0.006895	0	0
11.044	0.006732	0	0
11.077	0.008456	0	0
11.111	0.012883	0	0
11.144	0.017601	0	1
11.177	0.022518	0	0
11.211	0.025437	0	0
11.244	0.025186	0	0
11.277	0.021459	1	0
11.311	0.017114	0	0
11.344	0.012400	0	0
11.378	0.009678	0	0
11.411	0.008145	0	0
11.444	0.007572	0	0
11.478	0.007418	0	0
11.511	0.007417	0	0
11.544	0.007450	0	0
11.578	0.007423	0	0
11.611	0.007187	0	0
11.644	0.007084	0	0
